"Vesterbrogade 185, 3., 1800 Frederiksberg C"
"Vesterbrogade 202E, 1800 Frederiksberg C"
"Vesterbrogade 202G, 1800 Frederiksberg C"
"Vesterbrogade 172, 1. tv, 1800 Frederiksberg C"
"Vesterbrogade 192, 1. 5, 1800 Frederiksberg C"
"Vesterbrogade 204, 1. th, 1800 Frederiksberg C"
"Vesterbrogade 204, 2. tv, 1800 Frederiksberg C"
"Vesterbrogade 178, st. 3, 1800 Frederiksberg C"
"Vesterbrogade 198, 5. tv, 1800 Frederiksberg C"
"Vesterbrogade 172, 1., 1800 Frederiksberg C"
"Vesterbrogade 172, 1. th, 1800 Frederiksberg C"
