"Vigerslev Allé 108, 2500 Valby"
"Axel Strøbyes Vej 1, 2500 Valby"
"Gammel Køge Landevej 137, 3. 366, 2500 Valby"
"Retortvej 60, 1. 4, 2500 Valby"
"Rosenholms Allé 4, 2. 1, 2500 Valby"
"Kærskiftevej 79, 2500 Valby"
"Roskildevej 145, 2. tv, 2500 Valby"
"Roskildevej 201, st. th, 2500 Valby"
"Langagervej 38, 2500 Valby"
"Blankavej 12, 4. tv, 2500 Valby"
"Urtehaven 22, 2500 Valby"
"Valbygårdsvej 5, 3. th, 2500 Valby"
"Valbygårdsvej 43, 3. tv, 2500 Valby"
"Valbygårdsvej 72, st. th, 2500 Valby"
"Valbyholm 18, 2. tv, 2500 Valby"
"Valby Langgade 16, 2. 304, 2500 Valby"
"Valby Langgade 49, kl. tv, 2500 Valby"
"Grønnehave Allé 21, 2500 Valby"
"Valby Langgade 141, 2. th, 2500 Valby"
"Valby Langgade 193, 2. tv, 2500 Valby"
"Valby Langgade 243, st. tv, 2500 Valby"
"Valgårdsvej 3, 4. th, 2500 Valby"
"Gårdstedet 51, 1. tv, 2500 Valby"
"Bramslykkevej 3, 1. th, 2500 Valby"
"Bramslykkevej 49, 1. th, 2500 Valby"
"Bredahlsvej 1, 4. tv, 2500 Valby"
"Sandhusvej 19, st. tv, 2500 Valby"
"Lyshøj Allé 7, st. th, 2500 Valby"
"Lyshøjgårdsvej 27, st. th, 2500 Valby"
"Harald Kiddes Vej 1, st. tv, 2500 Valby"
"Harrestrupvang 5C, 1. tv, 2500 Valby"
"Vestbanevej 2, 2. tv, 2500 Valby"
"Havebo 6, st. 3, 2500 Valby"
"Brøndkærvej 9, 2. tv, 2500 Valby"
"Scharlingsvej 21, 4. tv, 2500 Valby"
"Maribovej 50, 2500 Valby"
"Heldbovej 43, 2. tv, 2500 Valby"
"Bykildevej 10, 4. th, 2500 Valby"
"Mellemleddet 3, 2500 Valby"
"Sjælør Boulevard 83, 7. th, 2500 Valby"
"Sjælør Boulevard 123, 7. th, 2500 Valby"
"Vibeholmen 2, 1. th, 2500 Valby"
"Bærhaven 7, 2. th, 2500 Valby"
"Carl Jacobsens Vej 2D, 3. tv, 2500 Valby"
"Carl Jacobsens Vej 10C, st. 109, 2500 Valby"
"Carl Langes Vej 29, 2., 2500 Valby"
"Vigerslev Allé 28, 1. th, 2500 Valby"
"Carl Th. Dreyers Vej 48, 2500 Valby"
"Carl Th. Dreyers Vej 276, 2. 1, 2500 Valby"
"Vigerslev Allé 166, 3. tv, 2500 Valby"
"Vigerslevstræde 9, 2500 Valby"
"Vigerslevvej 40, 1. th, 2500 Valby"
"Vigerslevvej 86, st. th, 2500 Valby"
"Vigerslevvej 180, 1. 138, 2500 Valby"
"Molbechsvej 14, st. tv, 2500 Valby"
"Vigerslevvej 252, 2. th, 2500 Valby"
"Monrads Allé 14, 2500 Valby"
"Vigerslevvej 284, st. 2, 2500 Valby"
"Skyttegårdvej 38, 2. tv, 2500 Valby"
"Vigerslevvej 323, 2500 Valby"
"Vigerslev Vænge 38, 1. th, 2500 Valby"
"Cæciliavej 21, 3. tv, 2500 Valby"
"Mølle Allé 16, st. th, 2500 Valby"
"Vinhaven 1, 2. tv, 2500 Valby"
"Vinhaven 55, 2. tv, 2500 Valby"
"Hornemanns Vænge 9, 2. 325, 2500 Valby"
"Nakskovvej 42, st. tv, 2500 Valby"
"Horsekildevej 46, 3. th, 2500 Valby"
"Danshøjvej 36, st., 2500 Valby"
"Stakhaven 9, st. th, 2500 Valby"
"Steenbergsvej 36, 2500 Valby"
"Druehaven 19, 1. 1, 2500 Valby"
"Høffdingsvej 43, 1. th, 2500 Valby"
"Nystedvej 54, 2500 Valby"
"Nøddehaven 13A, 2500 Valby"
"Strindbergsvej 106, 2500 Valby"
"Peter Bangs Vej 165, st. tv, 2500 Valby"
"Ålholmvej 13, st. tv, 2500 Valby"
"Aarestrupsvej 2, 1. tv, 2500 Valby"
"Sæbyholmsvej 6, 2500 Valby"
"Johan Krohns Vej 1, st. tv, 2500 Valby"
"Folehaven 20, 2. th, 2500 Valby"
"Søndre Fasanvej 90, 3. 315, 2500 Valby"
"Folehaven 61, 1. th, 2500 Valby"
"Folehaven 109, 2. tv, 2500 Valby"
"Peder Hjorts Vej 12, 1., 2500 Valby"
"Peter Bangs Vej 246, 1. th, 2500 Valby"
"Kirsebærhaven 20, 2. 304, 2500 Valby"
"Thyregodsvej 19, 1. th, 2500 Valby"
"Kjeldsgårdsvej 29, 3. th, 2500 Valby"
"Kløverbladsgade 27E, 2500 Valby"
"Toftegårds Allé 17, 2. th, 2500 Valby"
"Toftegårds Plads 1, 4. tv, 2500 Valby"
"Ramsingsvej 10, st. tv, 2500 Valby"
"Gadekærvej 22, 2. th, 2500 Valby"
"Rasmus Rasks Vej 4, 2. tv, 2500 Valby"
"Gammel Jernbanevej 5, 2. tv, 2500 Valby"
"Gammel Jernbanevej 41A, 1., 2500 Valby"
"Kongshaven 54, 2500 Valby"
"Trekronergade 33, kl., 2500 Valby"
"Gammel Køge Landevej 110, 1. th, 2500 Valby"
"Gammel Køge Landevej 137, 3. 367, 2500 Valby"
"Retortvej 60, 2. 1, 2500 Valby"
"Rosenholms Allé 4, 2. 2, 2500 Valby"
"Kærskiftevej 81, 2500 Valby"
"Roskildevej 146, st., 2500 Valby"
"Roskildevej 201, st. tv, 2500 Valby"
"Langagervej 39, 2500 Valby"
"Blankavej 14, st., 2500 Valby"
"Urtehaven 24, 2500 Valby"
"Valbygårdsvej 5, 3. tv, 2500 Valby"
"Valbygårdsvej 43, 4. th, 2500 Valby"
"Valbygårdsvej 72, st. tv, 2500 Valby"
"Valbyholm 19, st. th, 2500 Valby"
"Valby Langgade 16, 2. 305, 2500 Valby"
"Valby Langgade 49, st. th, 2500 Valby"
"Valby Langgade 92, st. th, 2500 Valby"
"Grønnehave Allé 22, st., 2500 Valby"
"Valby Langgade 141, 2. tv, 2500 Valby"
"Valby Langgade 243, 1. th, 2500 Valby"
"Valgårdsvej 3, 4. tv, 2500 Valby"
"Gårdstedet 51, 2. th, 2500 Valby"
"Bramslykkevej 3, 1. tv, 2500 Valby"
"Bramslykkevej 49, 1. tv, 2500 Valby"
"Bredahlsvej 2, st. th, 2500 Valby"
"Sandhusvej 19, 1. th, 2500 Valby"
"Lyshøj Allé 7, st. tv, 2500 Valby"
"Lyshøjgårdsvej 27, st. tv, 2500 Valby"
"Harald Kiddes Vej 1, 1. th, 2500 Valby"
"Lyshøjgårdsvej 83, 2. th, 2500 Valby"
"Harrestrupvang 5C, 2., 2500 Valby"
"Vestbanevej 2, 3. th, 2500 Valby"
"Havebo 6, st. 4, 2500 Valby"
"Brøndkærvej 9, 3. th, 2500 Valby"
"Scharlingsvej 22, st. th, 2500 Valby"
"Maribovej 52, 2500 Valby"
"Heldbovej 45, st. th, 2500 Valby"
"Bykildevej 10, 4. tv, 2500 Valby"
"Mellemleddet 5, 2500 Valby"
"Sjælør Boulevard 83, 7. tv, 2500 Valby"
"Sjælør Boulevard 123, 7. tv, 2500 Valby"
"Vibeholmen 2, 1. tv, 2500 Valby"
"Bærhaven 7, 2. tv, 2500 Valby"
"Carl Jacobsens Vej 2E, st. mf, 2500 Valby"
"Carl Jacobsens Vej 10C, st. 110, 2500 Valby"
"Carl Langes Vej 30, st., 2500 Valby"
"Vigerslev Allé 28, 1. tv, 2500 Valby"
"Carl Th. Dreyers Vej 50, 2500 Valby"
"Carl Th. Dreyers Vej 276, 2. 2, 2500 Valby"
"Vigerslev Allé 168, st., 2500 Valby"
"Vigerslevstræde 9A, 2500 Valby"
"Vigerslevvej 40, 1. tv, 2500 Valby"
"Vigerslevvej 86, st. tv, 2500 Valby"
"Vigerslevvej 180, 1. 139, 2500 Valby"
"Molbechsvej 14, 1. th, 2500 Valby"
"Vigerslevvej 252, 2. tv, 2500 Valby"
"Vigerslevvej 284, st. 3, 2500 Valby"
"Skyttegårdvej 39, st. th, 2500 Valby"
"Vigerslevvej 324, st. th, 2500 Valby"
"Vigerslev Vænge 38, 1. tv, 2500 Valby"
"Cæciliavej 21, 4. th, 2500 Valby"
"Mølle Allé 16, st. tv, 2500 Valby"
"Vinhaven 3, st. th, 2500 Valby"
"Vinhaven 57, st. th, 2500 Valby"
"Hornemanns Vænge 9, 2. 326, 2500 Valby"
"Nakskovvej 42, 1. th, 2500 Valby"
"Horsekildevej 20, 4. th, 2500 Valby"
"Horsekildevej 46, 3. tv, 2500 Valby"
"Danshøjvej 36, 1., 2500 Valby"
"Stakhaven 9, st. tv, 2500 Valby"
"Druehaven 19, 1. 2, 2500 Valby"
"Høffdingsvej 43, 1. tv, 2500 Valby"
"Nystedvej 55, 2500 Valby"
"Nøddehaven 13B, 2500 Valby"
"Aarestrupsvej 2, 2. th, 2500 Valby"
"Sæbyholmsvej 7, 2500 Valby"
"Johan Krohns Vej 1, 1. th, 2500 Valby"
"Overskousvej 12, 3. th, 2500 Valby"
"Folehaven 20, 2. tv, 2500 Valby"
"Søndre Fasanvej 90, 3. 316, 2500 Valby"
"Folehaven 61, 1. tv, 2500 Valby"
"Folehaven 110, kl., 2500 Valby"
"Peter Bangs Vej 246, 1. tv, 2500 Valby"
"Kirsebærhaven 20, 2. 305, 2500 Valby"
"Thyregodsvej 19, 1. tv, 2500 Valby"
"Kjeldsgårdsvej 29, 3. tv, 2500 Valby"
"Kløverbladsgade 27F, 2500 Valby"
"Toftegårds Allé 17, 2. tv, 2500 Valby"
"Toftegårds Plads 2, st. 1, 2500 Valby"
"Ramsingsvej 10, 1. mf, 2500 Valby"
"Gadekærvej 22, 2. tv, 2500 Valby"
"Rasmus Rasks Vej 4, 3. th, 2500 Valby"
"Gammel Jernbanevej 5, 3. th, 2500 Valby"
"Kongshaven 55, 2500 Valby"
"Banevolden 34, kl. 45, 2500 Valby"
"Trekronergade 33, st., 2500 Valby"
"Gammel Køge Landevej 110, 1. tv, 2500 Valby"
"Gammel Køge Landevej 137, 3. 368, 2500 Valby"
"Beatevej 20, st. th, 2500 Valby"
"Retortvej 60, 2. 2, 2500 Valby"
"Rosenholms Allé 4, 2. 3, 2500 Valby"
"Kærskiftevej 83, 2500 Valby"
"Roskildevej 146, 1., 2500 Valby"
"Roskildevej 201, 1. th, 2500 Valby"
"Langagervej 40, 2500 Valby"
"Blankavej 14, 1. th, 2500 Valby"
"Urtehaven 26, 2500 Valby"
"Lauravej 1, st., 2500 Valby"
"Valbygårdsvej 5, 4. th, 2500 Valby"
"Valbygårdsvej 43, 4. tv, 2500 Valby"
"Valbyholm 19, st. tv, 2500 Valby"
"Valby Langgade 16, 2. 306, 2500 Valby"
"Valby Langgade 49, st. tv, 2500 Valby"
"Valby Langgade 92, st. tv, 2500 Valby"
"Grønnehave Allé 22, 1., 2500 Valby"
"Valby Langgade 141, 3. th, 2500 Valby"
"Valby Langgade 243, 1. tv, 2500 Valby"
"Valgårdsvej 5, st. th, 2500 Valby"
"Gårdstedet 51, 2. tv, 2500 Valby"
"Bramslykkevej 3, 2. th, 2500 Valby"
"Bramslykkevej 49, 2. th, 2500 Valby"
"Bredahlsvej 2, st. tv, 2500 Valby"
"Sandhusvej 19, 1. tv, 2500 Valby"
"Lyshøj Allé 7, 1. th, 2500 Valby"
"Lyshøjgårdsvej 27, 1. th, 2500 Valby"
"Harald Kiddes Vej 1, 1. tv, 2500 Valby"
"Lyshøjgårdsvej 83, 2. tv, 2500 Valby"
"Vestbanevej 2, 3. tv, 2500 Valby"
"Havebo 6, 1. 1, 2500 Valby"
"Brøndkærvej 9, 3. tv, 2500 Valby"
"Scharlingsvej 22, st. tv, 2500 Valby"
"Maribovej 54, 2500 Valby"
"Heldbovej 45, st. tv, 2500 Valby"
"Bykildevej 12, kl., 2500 Valby"
"Mellemleddet 6, 2500 Valby"
"Sjælør Boulevard 85, st. th, 2500 Valby"
"Sjælør Boulevard 125, st. th, 2500 Valby"
"Vibeholmen 2, 2. th, 2500 Valby"
"Bærhaven 8, st. th, 2500 Valby"
"Carl Jacobsens Vej 2E, st. th, 2500 Valby"
"Carl Jacobsens Vej 10C, st. 111, 2500 Valby"
"Carl Langes Vej 30, 1., 2500 Valby"
"Vigerslev Allé 28, 2. th, 2500 Valby"
"Carl Th. Dreyers Vej 52, 2500 Valby"
"Carl Th. Dreyers Vej 276, 2. 3, 2500 Valby"
"Vigerslev Allé 168, st. th, 2500 Valby"
"Vigerslevstræde 10, 2500 Valby"
"Vigerslevvej 40, 2. th, 2500 Valby"
"Vigerslevvej 86, 1. th, 2500 Valby"
"Vigerslevvej 180, 1. 140, 2500 Valby"
"Molbechsvej 14, 1. tv, 2500 Valby"
"Vigerslevvej 253A, 2500 Valby"
"Monrads Allé 16, 2500 Valby"
"Vigerslevvej 284, st. 4, 2500 Valby"
"Skyttegårdvej 39, st. tv, 2500 Valby"
"Vigerslevvej 324, st. tv, 2500 Valby"
"Vigerslev Vænge 38, 2. mf, 2500 Valby"
"Mølle Allé 16, 1. th, 2500 Valby"
"Vinhaven 3, st. tv, 2500 Valby"
"Vinhaven 57, st. tv, 2500 Valby"
"Hornemanns Vænge 9, 2. 327, 2500 Valby"
"Nakskovvej 42, 1. tv, 2500 Valby"
"Danhaven 1, 2500 Valby"
"Horsekildevej 20, 4. tv, 2500 Valby"
"Horsekildevej 46, 4. th, 2500 Valby"
"Danshøjvej 37, 2500 Valby"
"Stakhaven 9, 1. th, 2500 Valby"
"Høffdingsvej 43, 2. mf, 2500 Valby"
"Nystedvej 57, 2500 Valby"
"Ålholmvej 13, 1. tv, 2500 Valby"
"Aarestrupsvej 2, 2. tv, 2500 Valby"
"Sæbyholmsvej 8, st., 2500 Valby"
"Johan Krohns Vej 1, 1. tv, 2500 Valby"
"Overbys Allé 30, 2500 Valby"
"Overskousvej 12, 3. tv, 2500 Valby"
"Folehaven 21, st. mf, 2500 Valby"
"Søndre Fasanvej 90, 3. 317, 2500 Valby"
"Folehaven 61, 2. th, 2500 Valby"
"Folehaven 110, st. th, 2500 Valby"
"Peter Bangs Vej 246, 2. mf, 2500 Valby"
"Kirsebærhaven 20, 2. 306, 2500 Valby"
"Thyregodsvej 19, 2. th, 2500 Valby"
"Kjeldsgårdsvej 29, 4. th, 2500 Valby"
"Kløverbladsgade 27, st., 2500 Valby"
"Toftegårds Allé 17, 3. th, 2500 Valby"
"Toftegårds Plads 2, st. 2, 2500 Valby"
"Ramsingsvej 10, 1. th, 2500 Valby"
"Gadekærvej 22, 3. th, 2500 Valby"
"Rasmus Rasks Vej 4, 3. tv, 2500 Valby"
"Gammel Jernbanevej 5, 3. tv, 2500 Valby"
"Kongshaven 56, 2500 Valby"
"Banevolden 34, kl. 46, 2500 Valby"
"Trekronergade 33, 1., 2500 Valby"
"Gammel Køge Landevej 110, 2. th, 2500 Valby"
"Gammel Køge Landevej 137, 3. 369, 2500 Valby"
"Beatevej 20, st. tv, 2500 Valby"
"Retortvej 60, 2. 3, 2500 Valby"
"Rosenholms Allé 4, 2. 4, 2500 Valby"
"Kærskiftevej 85, 2500 Valby"
"Roskildevej 146, 2., 2500 Valby"
"Roskildevej 201, 1. tv, 2500 Valby"
"Blankavej 14, 1. tv, 2500 Valby"
"Valbygårdsvej 5, 4. tv, 2500 Valby"
"Valbygårdsvej 44, st. th, 2500 Valby"
"Valbygårdsvej 72, 1. tv, 2500 Valby"
"Valbyholm 19, 1. th, 2500 Valby"
"Valby Langgade 16, 2. 307, 2500 Valby"
"Valby Langgade 49, 1. th, 2500 Valby"
"Grønnehave Allé 24, 2500 Valby"
"Valby Langgade 141, 3. tv, 2500 Valby"
"Valby Langgade 243, 2. th, 2500 Valby"
"Valgårdsvej 5, st. tv, 2500 Valby"
"Gårdstedet 51, 3., 2500 Valby"
"Bramslykkevej 3, 2. tv, 2500 Valby"
"Bramslykkevej 49, 2. tv, 2500 Valby"
"Bredahlsvej 2, 1. th, 2500 Valby"
"Sandhusvej 19, 2. th, 2500 Valby"
"Lyshøj Allé 7, 1. tv, 2500 Valby"
"Lyshøjgårdsvej 27, 1. tv, 2500 Valby"
"Harald Kiddes Vej 1, 2. th, 2500 Valby"
"Lyshøjgårdsvej 83, 3., 2500 Valby"
"Vestbanevej 2, 4. th, 2500 Valby"
"Havebo 6, 1. 2, 2500 Valby"
"Brøndkærvej 9, 4. th, 2500 Valby"
"Scharlingsvej 22, 1. th, 2500 Valby"
"Maribovej 56, 2500 Valby"
"Heldbovej 45, 1. th, 2500 Valby"
"Bykildevej 12, st. mf, 2500 Valby"
"Mellemleddet 7, 2500 Valby"
"Sjælør Boulevard 125, st. tv, 2500 Valby"
"Vibeholmen 2, 2. tv, 2500 Valby"
"Bærhaven 8, st. tv, 2500 Valby"
"Carl Jacobsens Vej 2E, st. tv, 2500 Valby"
"Carl Jacobsens Vej 10C, st. 112, 2500 Valby"
"Carl Langes Vej 31, 2500 Valby"
"Vigerslev Allé 28, 2. tv, 2500 Valby"
"Carl Th. Dreyers Vej 54, 2500 Valby"
"Carl Th. Dreyers Vej 276, 3. 1, 2500 Valby"
"Vigerslev Allé 168, st. tv, 2500 Valby"
"Vigerslevstræde 12, 2500 Valby"
"Vigerslevvej 40, 2. tv, 2500 Valby"
"Vigerslevvej 86, 1. tv, 2500 Valby"
"Vigerslevvej 180, 1. 141, 2500 Valby"
"Molbechsvej 14, 2. th, 2500 Valby"
"Vigerslevvej 253B, 2500 Valby"
"Monrads Allé 17A, 2500 Valby"
"Vigerslevvej 284, 1. 1, 2500 Valby"
"Skyttegårdvej 39, 1. th, 2500 Valby"
"Vigerslevvej 324, 1. th, 2500 Valby"
"Vigerslev Vænge 38, 2. th, 2500 Valby"
"Cæciliavej 22, 2500 Valby"
"Mølle Allé 16, 1. tv, 2500 Valby"
"Vinhaven 57, 1. th, 2500 Valby"
"Hornemanns Vænge 9, 2. 328, 2500 Valby"
"Nakskovvej 42, 2. th, 2500 Valby"
"Danhaven 3, 2500 Valby"
"Horsekildevej 21, st., 2500 Valby"
"Horsekildevej 46, 4. tv, 2500 Valby"
"Danshøjvej 38, 2500 Valby"
"Stakhaven 9, 1. tv, 2500 Valby"
"Høffdingsvej 43, 2. th, 2500 Valby"
"Nystedvej 59, 2500 Valby"
"Nøddehaven 15A, 2500 Valby"
"Ålholmvej 13, 2. th, 2500 Valby"
"Aarestrupsvej 2, 3. th, 2500 Valby"
"Sæbyholmsvej 8, 1., 2500 Valby"
"Johan Krohns Vej 1, 2. th, 2500 Valby"
"Overbys Allé 31, st., 2500 Valby"
"Overskousvej 12, 4. th, 2500 Valby"
"Folehaven 21, st. th, 2500 Valby"
"Søndre Fasanvej 90, 3. 318, 2500 Valby"
"Folehaven 61, 2. tv, 2500 Valby"
"Folehaven 110, st. tv, 2500 Valby"
"Peder Hjorts Vej 12, 2. th, 2500 Valby"
"Peter Bangs Vej 165, 1. tv, 2500 Valby"
"Peter Bangs Vej 246, 2. th, 2500 Valby"
"Rosenholms Allé 5, st. th, 2500 Valby"
"Kirsebærhaven 20, 2. 307, 2500 Valby"
"Thyregodsvej 19, 2. tv, 2500 Valby"
"Kjeldsgårdsvej 29, 4. tv, 2500 Valby"
"Kløverbladsgade 27, 1., 2500 Valby"
"Toftegårds Allé 17, 3. tv, 2500 Valby"
"Ramsingsvej 10, 1. tv, 2500 Valby"
"Gadekærvej 22, 3. tv, 2500 Valby"
"Rasmus Rasks Vej 4, 4. th, 2500 Valby"
"Gammel Jernbanevej 5, 4. th, 2500 Valby"
"Gammel Jernbanevej 41, 1. th, 2500 Valby"
"Kongshaven 57, 2500 Valby"
"Banevolden 34, kl. 47, 2500 Valby"
"Trekronergade 33, 2., 2500 Valby"
"Gammel Køge Landevej 110, 2. tv, 2500 Valby"
"Gammel Køge Landevej 138, st. th, 2500 Valby"
"Beatevej 20, 1. th, 2500 Valby"
"Retortvej 60, 2. 4, 2500 Valby"
"Bramslykkevej 4, kl., 2500 Valby"
"Kærskiftevej 87, 2500 Valby"
"Roskildevej 147, st. th, 2500 Valby"
"Roskildevej 201, 2. th, 2500 Valby"
"Langagervej 42, 2500 Valby"
"Blankavej 14, 2. th, 2500 Valby"
"Urtehaven 30, st., 2500 Valby"
"Lauravej 1, 1. tv, 2500 Valby"
"Valbygårdsvej 7, st. th, 2500 Valby"
"Valbygårdsvej 44, st. tv, 2500 Valby"
"Valbygårdsvej 72, 2. th, 2500 Valby"
"Valbyholm 19, 1. tv, 2500 Valby"
"Valby Langgade 16, 3. 401, 2500 Valby"
"Valby Langgade 49, 1. tv, 2500 Valby"
"Valby Langgade 92, 1. tv, 2500 Valby"
"Grønnehave Allé 26, 2500 Valby"
"Valby Langgade 141, 4. th, 2500 Valby"
"Valby Langgade 243, 2. tv, 2500 Valby"
"Valgårdsvej 5, 1. th, 2500 Valby"
"Gårdstedet 53, st. th, 2500 Valby"
"Bramslykkevej 50, st. th, 2500 Valby"
"Bredahlsvej 2, 1. tv, 2500 Valby"
"Sandhusvej 19, 2. tv, 2500 Valby"
"Lyshøj Allé 7, 2. th, 2500 Valby"
"Lyshøjgårdsvej 27, 2. th, 2500 Valby"
"Harald Kiddes Vej 1, 2. tv, 2500 Valby"
"Lyshøjgårdsvej 83, 4. th, 2500 Valby"
"Harrestrupvang 6, st. th, 2500 Valby"
"Vestbanevej 2, 4. tv, 2500 Valby"
"Havebo 6, 1. 3, 2500 Valby"
"Brøndkærvej 9, 4. tv, 2500 Valby"
"Scharlingsvej 22, 1. tv, 2500 Valby"
"Maribovej 58, 2500 Valby"
"Heldbovej 45, 1. tv, 2500 Valby"
"Bykildevej 12, st. th, 2500 Valby"
"Mellemleddet 8, 2500 Valby"
"Sjælør Boulevard 85, 1. th, 2500 Valby"
"Sjælør Boulevard 125, 1. th, 2500 Valby"
"Vibeholmen 4, st. th, 2500 Valby"
"Bærhaven 8, 1. th, 2500 Valby"
"Carl Jacobsens Vej 2E, 1. mf, 2500 Valby"
"Carl Jacobsens Vej 10C, st. 113, 2500 Valby"
"Carl Langes Vej 32, 2500 Valby"
"Vigerslev Allé 28, 3. th, 2500 Valby"
"Carl Th. Dreyers Vej 56, 2500 Valby"
"Carl Th. Dreyers Vej 276, 3. 2, 2500 Valby"
"Vigerslev Allé 168, 1. th, 2500 Valby"
"Vigerslevstræde 13, 2500 Valby"
"Vigerslevvej 41, kl., 2500 Valby"
"Vigerslevvej 88, st. th, 2500 Valby"
"Vigerslevvej 180, 1. 142, 2500 Valby"
"Molbechsvej 14, 2. tv, 2500 Valby"
"Vigerslevvej 253C, 2500 Valby"
"Monrads Allé 17B, 2500 Valby"
"Vigerslevvej 284, 1. 2, 2500 Valby"
"Skyttegårdvej 39, 1. tv, 2500 Valby"
"Vigerslevvej 324, 1. tv, 2500 Valby"
"Vigerslev Vænge 38, 2. tv, 2500 Valby"
"Cæciliavej 23, st. th, 2500 Valby"
"Mølle Allé 16, 2. th, 2500 Valby"
"Vinhaven 3, 1. tv, 2500 Valby"
"Vinhaven 57, 1. tv, 2500 Valby"
"Hornemanns Vænge 9, 2. 329, 2500 Valby"
"Nakskovvej 42, 2. tv, 2500 Valby"
"Danhaven 4, 2500 Valby"
"Horsekildevej 47, st. th, 2500 Valby"
"Stakhaven 9, 2. th, 2500 Valby"
"Druehaven 19, 2. 1, 2500 Valby"
"Høffdingsvej 43, 2. tv, 2500 Valby"
"Nøddehaven 15B, 2500 Valby"
"Ålholmvej 13, 2. tv, 2500 Valby"
"Aarestrupsvej 2, 3. tv, 2500 Valby"
"Thyregodsvej 19, 3. th, 2500 Valby"
"Sæbyholmsvej 9, 2500 Valby"
"Johan Krohns Vej 1, 2. tv, 2500 Valby"
"Overbys Allé 31, 1., 2500 Valby"
"Overskousvej 12, 4. tv, 2500 Valby"
"Folehaven 21, st. tv, 2500 Valby"
"Søndre Fasanvej 90, 3. 319, 2500 Valby"
"Folehaven 62, st. th, 2500 Valby"
"Folehaven 110, 1. th, 2500 Valby"
"Peder Hjorts Vej 12, 2. tv, 2500 Valby"
"Peter Bangs Vej 165, 2. mf, 2500 Valby"
"Peter Bangs Vej 246, 2. tv, 2500 Valby"
"Kirsebærhaven 20, 2. 308, 2500 Valby"
"Kjeldsgårdsvej 30, st. th, 2500 Valby"
"Tjørnelunds Allé 2, st., 2500 Valby"
"Kløverbladsgade 27, 2., 2500 Valby"
"Toftegårds Allé 17, 4. th, 2500 Valby"
"Toftegårds Plads 2, st. 4, 2500 Valby"
"Ramsingsvej 10, 2. mf, 2500 Valby"
"Gadekærvej 22, 4. th, 2500 Valby"
"Rasmus Rasks Vej 4, 4. tv, 2500 Valby"
"Gammel Jernbanevej 5, 4. tv, 2500 Valby"
"Gammel Jernbanevej 41, 1. tv, 2500 Valby"
"Kongshaven 58, 2500 Valby"
"Banevolden 34, st. th, 2500 Valby"
"Gammel Køge Landevej 112, st. mf, 2500 Valby"
"Gammel Køge Landevej 138, st. tv, 2500 Valby"
"Beatevej 20, 1. tv, 2500 Valby"
"Retortvej 60, 3., 2500 Valby"
"Rosenholms Allé 5, st. tv, 2500 Valby"
"Kærskiftevej 89, 2500 Valby"
"Roskildevej 147, st. tv, 2500 Valby"
"Roskildevej 201, 2. tv, 2500 Valby"
"Langagervej 43, 2500 Valby"
"Blankavej 14, 2. tv, 2500 Valby"
"Urtehaven 30, 1., 2500 Valby"
"Lauravej 1, 2. th, 2500 Valby"
"Valbygårdsvej 7, st. tv, 2500 Valby"
"Valbygårdsvej 44, 1. th, 2500 Valby"
"Valbygårdsvej 72, 2. tv, 2500 Valby"
"Valbyholm 19, 2. th, 2500 Valby"
"Valby Langgade 16, 3. 402, 2500 Valby"
"Valby Langgade 49, 2. th, 2500 Valby"
"Valby Langgade 92, 2. th, 2500 Valby"
"Valby Langgade 141, 4. tv, 2500 Valby"
"Valby Langgade 244, st. th, 2500 Valby"
"Valgårdsvej 5, 1. tv, 2500 Valby"
"Gårdstedet 53, st. tv, 2500 Valby"
"Bramslykkevej 4, st. th, 2500 Valby"
"Bramslykkevej 50, st. tv, 2500 Valby"
"Bredahlsvej 2, 2. th, 2500 Valby"
"Vigerslevvej 180, 1. 143, 2500 Valby"
"Sandhusvej 21, st. th, 2500 Valby"
"Lyshøj Allé 7, 2. tv, 2500 Valby"
"Lyshøjgårdsvej 27, 2. tv, 2500 Valby"
"Harald Kiddes Vej 1, 3. th, 2500 Valby"
"Lyshøjgårdsvej 83, 4. tv, 2500 Valby"
"Harrestrupvang 6, st. tv, 2500 Valby"
"Vestbanevej 2, 5., 2500 Valby"
"Havebo 6, 1. 4, 2500 Valby"
"Brøndkærvej 9, 5., 2500 Valby"
"Scharlingsvej 22, 2. th, 2500 Valby"
"Maribovej 60, 2500 Valby"
"Heldbovej 45, 2. th, 2500 Valby"
"Urtehaven 32, 2500 Valby"
"Bykildevej 12, st. tv, 2500 Valby"
"Mellemleddet 9, 2500 Valby"
"Sjælør Boulevard 85, 1. tv, 2500 Valby"
"Sjælør Boulevard 125, 1. tv, 2500 Valby"
"Vibeholmen 4, st. tv, 2500 Valby"
"Bærhaven 8, 1. tv, 2500 Valby"
"Carl Jacobsens Vej 2E, 1. th, 2500 Valby"
"Carl Jacobsens Vej 10C, st. 114, 2500 Valby"
"Vigerslev Allé 28, 3. tv, 2500 Valby"
"Carl Th. Dreyers Vej 58, 2500 Valby"
"Maribovej 62, 2500 Valby"
"Carl Th. Dreyers Vej 276, 3. 3, 2500 Valby"
"Vigerslev Allé 168, 1. tv, 2500 Valby"
"Vigerslevstræde 14, 2500 Valby"
"Vigerslevvej 41, st. th, 2500 Valby"
"Vigerslevvej 88, st. tv, 2500 Valby"
"Molbechsvej 14, 3. th, 2500 Valby"
"Vigerslevvej 253D, 2500 Valby"
"Monrads Allé 18, 2500 Valby"
