"Sølvgade 105, 5. tv, 1307 København K"
"Sølvgade 5, 4. th, 1307 København K"
"Sølvgade 34A, 2. tv, 1307 København K"
"Sølvgade 97, 4. tv, 1307 København K"
"Sølvgade 5, 4. tv, 1307 København K"
"Sølvgade 34A, 3., 1307 København K"
"Sølvgade 97, 5., 1307 København K"
"Sølvgade 5, 5. th, 1307 København K"
"Sølvgade 34B, st., 1307 København K"
"Sølvgade 98, kl. th, 1307 København K"
"Sølvgade 5, 5. tv, 1307 København K"
"Sølvgade 34B, 1., 1307 København K"
"Sølvgade 98, kl. tv, 1307 København K"
"Sølvgade 6A, st., 1307 København K"
"Sølvgade 34B, 2., 1307 København K"
"Sølvgade 98, st. th, 1307 København K"
"Sølvgade 6A, 1., 1307 København K"
"Sølvgade 34B, 3., 1307 København K"
"Sølvgade 98, st. tv, 1307 København K"
"Sølvgade 6A, 2., 1307 København K"
"Sølvgade 34C, st. th, 1307 København K"
"Sølvgade 98, 1. th, 1307 København K"
"Sølvgade 6A, 3., 1307 København K"
"Sølvgade 34C, st. tv, 1307 København K"
"Sølvgade 98, 1. tv, 1307 København K"
"Sølvgade 32C, 1., 1307 København K"
"Sølvgade 32C, st. th, 1307 København K"
"Sølvgade 32C, st. tv, 1307 København K"
"Georg Brandes Plads 10, 4. 32, 1307 København K"
"Georg Brandes Plads 8, 2. 21, 1307 København K"
"Georg Brandes Plads 4, 2. 221, 1307 København K"
"Sølvgade 38A, 1307 København K"
"Sølvgade 38D, st. 1, 1307 København K"
"Georg Brandes Plads 2, st., 1307 København K"
"Georg Brandes Plads 6, 2. 229, 1307 København K"
"Georg Brandes Plads 6, 1. 144, 1307 København K"
"Georg Brandes Plads 16, 2. 83, 1307 København K"
"Sølvgade 95, 1307 København K"
"Georg Brandes Plads 6, 2. 1, 1307 København K"
"Georg Brandes Plads 4, 3. 330, 1307 København K"
"Georg Brandes Plads 6, 1. 5, 1307 København K"
"Sølvgade 38D, st. 1, 1307 København K"
"Georg Brandes Plads 4, 2. 240, 1307 København K"
"Georg Brandes Plads 6, 2. 218, 1307 København K"
"Georg Brandes Plads 14, 3. 102, 1307 København K"
"Georg Brandes Plads 6, st. 7, 1307 København K"
"Georg Brandes Plads 4, 2. 214, 1307 København K"
"Sølvgade 10, 2., 1307 København K"
"Georg Brandes Plads 12, 4. 68, 1307 København K"
"Georg Brandes Plads 12, 2. 70, 1307 København K"
"Sølvgade 38C, 1307 København K"
"Georg Brandes Plads 6, st. 3, 1307 København K"
"Georg Brandes Plads 6, st. 1, 1307 København K"
"Georg Brandes Plads 12, 1. 80, 1307 København K"
"Georg Brandes Plads 6, 4. 403, 1307 København K"
"Georg Brandes Plads 4, 2. 227, 1307 København K"
"Georg Brandes Plads 8, 4. 18, 1307 København K"
"Georg Brandes Plads 10, 1. 43, 1307 København K"
"Georg Brandes Plads 6, st. 12, 1307 København K"
"Sølvgade 92A, 1., 1307 København K"
"Georg Brandes Plads 6, st. 4, 1307 København K"
"Georg Brandes Plads 12, 1. 61, 1307 København K"
"Georg Brandes Plads 4, 1. 142, 1307 København K"
"Georg Brandes Plads 10, 2. 36, 1307 København K"
"Sølvgade 38D, 1., 1307 København K"
"Georg Brandes Plads 6, 3. 315, 1307 København K"
"Georg Brandes Plads 8, 2. 28, 1307 København K"
"Georg Brandes Plads 8, st. 14, 1307 København K"
"Sølvgade 85B, 1307 København K"
"Georg Brandes Plads 6, 2. 212, 1307 København K"
"Georg Brandes Plads 4, 3. 316, 1307 København K"
"Georg Brandes Plads 12, 2. 78, 1307 København K"
"Georg Brandes Plads 14, 4. 96, 1307 København K"
"Georg Brandes Plads 6, st. 7, 1307 København K"
"Georg Brandes Plads 14, 2. 69, 1307 København K"
"Georg Brandes Plads 10, 2. 42, 1307 København K"
"Georg Brandes Plads 6, 1. 105, 1307 København K"
"Georg Brandes Plads 6, 4. 436, 1307 København K"
"Sølvgade 38D, 2., 1307 København K"
"Georg Brandes Plads 8, 4. 7, 1307 København K"
"Georg Brandes Plads 4, 3. 343, 1307 København K"
"Georg Brandes Plads 12, 3. 53, 1307 København K"
"Sølvgade 40G, st., 1307 København K"
"Georg Brandes Plads 6, 4. 450, 1307 København K"
"Georg Brandes Plads 6, 1. 116, 1307 København K"
"Georg Brandes Plads 12, 2. 51, 1307 København K"
"Georg Brandes Plads 4, 4. 428, 1307 København K"
"Georg Brandes Plads 4, 2. 223, 1307 København K"
"Georg Brandes Plads 4, 2. 208, 1307 København K"
"Georg Brandes Plads 6, st. 16, 1307 København K"
"Georg Brandes Plads 6, 4. 439, 1307 København K"
"Georg Brandes Plads 6, 4. 409, 1307 København K"
"Georg Brandes Plads 8, st. 15, 1307 København K"
"Georg Brandes Plads 8, 4. 16, 1307 København K"
"Georg Brandes Plads 4, 4. 423, 1307 København K"
"Georg Brandes Plads 6, 2. 216, 1307 København K"
"Sølvgade 30, 1307 København K"
"Georg Brandes Plads 6, 1. 119, 1307 København K"
"Georg Brandes Plads 6, 2. 2, 1307 København K"
"Georg Brandes Plads 4, st. 13, 1307 København K"
"Georg Brandes Plads 4, st. 7, 1307 København K"
"Georg Brandes Plads 4, st. 38, 1307 København K"
"Georg Brandes Plads 14, 2. 102, 1307 København K"
"Georg Brandes Plads 4, 4. 422, 1307 København K"
"Georg Brandes Plads 4, 3. 329, 1307 København K"
"Georg Brandes Plads 6, 2. 5, 1307 København K"
"Sølvgade 30, kl., 1307 København K"
"Georg Brandes Plads 4, 4. 441, 1307 København K"
"Georg Brandes Plads 12, st. 55, 1307 København K"
"Georg Brandes Plads 8, 3. 9, 1307 København K"
"Georg Brandes Plads 10, 4. 34, 1307 København K"
"Georg Brandes Plads 10, 4. 38, 1307 København K"
"Georg Brandes Plads 6, 2. 3, 1307 København K"
"Georg Brandes Plads 6, st. 6, 1307 København K"
"Georg Brandes Plads 4, 1. 103, 1307 København K"
"Georg Brandes Plads 4, 4. 402, 1307 København K"
"Sølvgade 38D, st., 1307 København K"
"Sølvgade 40A, 3., 1307 København K"
"Georg Brandes Plads 10, 4. 44, 1307 København K"
"Georg Brandes Plads 10, 3. 38, 1307 København K"
"Georg Brandes Plads 6, 4. 52, 1307 København K"
"Georg Brandes Plads 6, 1. 121, 1307 København K"
"Georg Brandes Plads 4, 4. 413, 1307 København K"
"Georg Brandes Plads 10, 4. 35, 1307 København K"
"Georg Brandes Plads 4, 3. 303, 1307 København K"
"Georg Brandes Plads 10, 3. 31, 1307 København K"
"Georg Brandes Plads 4, 2. 217, 1307 København K"
"Georg Brandes Plads 4, 4. 448, 1307 København K"
"Georg Brandes Plads 4, st. 23, 1307 København K"
"Georg Brandes Plads 6, 2. 227, 1307 København K"
"Georg Brandes Plads 6, 4. 10, 1307 København K"
"Sølvgade 90, 1307 København K"
"Sølvgade 10, 3. th, 1307 København K"
"Georg Brandes Plads 16, st. 106, 1307 København K"
"Georg Brandes Plads 6, st. 50, 1307 København K"
"Georg Brandes Plads 4, 1. 108, 1307 København K"
"Georg Brandes Plads 14, 1. 100, 1307 København K"
"Georg Brandes Plads 8, 3. 13, 1307 København K"
"Georg Brandes Plads 14, 4. 84, 1307 København K"
"Sølvgade 32C, 1307 København K"
"Georg Brandes Plads 10, 2. 41, 1307 København K"
"Georg Brandes Plads 16, 2. 104, 1307 København K"
"Georg Brandes Plads 10, 2. 50, 1307 København K"
"Georg Brandes Plads 12, st. 62, 1307 København K"
"Georg Brandes Plads 6, 1. 111, 1307 København K"
"Georg Brandes Plads 6, 1. 109, 1307 København K"
"Georg Brandes Plads 4, 4. 410, 1307 København K"
"Georg Brandes Plads 6, 4. 431, 1307 København K"
"Georg Brandes Plads 14, 4. 90, 1307 København K"
"Georg Brandes Plads 4, st. 6, 1307 København K"
"Georg Brandes Plads 6, st. 23, 1307 København K"
"Georg Brandes Plads 4, 4. 427, 1307 København K"
"Sølvgade 40A, 2., 1307 København K"
"Georg Brandes Plads 6, 2. 217, 1307 København K"
"Georg Brandes Plads 12, 2. 66, 1307 København K"
"Georg Brandes Plads 8, 2. 30, 1307 København K"
"Sølvgade 93, 1307 København K"
"Georg Brandes Plads 14, 4. 77, 1307 København K"
"Georg Brandes Plads 12, 1. 45, 1307 København K"
"Georg Brandes Plads 8, 2. 16, 1307 København K"
"Sølvgade 40A, 1., 1307 København K"
"Georg Brandes Plads 6, 4. 438, 1307 København K"
"Georg Brandes Plads 8, 3. 18, 1307 København K"
"Georg Brandes Plads 10, st. 29, 1307 København K"
"Georg Brandes Plads 14, st. 96, 1307 København K"
"Sølvgade 83T, st., 1307 København K"
"Georg Brandes Plads 10, 2. 29, 1307 København K"
"Georg Brandes Plads 6, st. 16, 1307 København K"
"Georg Brandes Plads 8, st. 17, 1307 København K"
"Georg Brandes Plads 10, 3. 43, 1307 København K"
"Sølvgade 38E, 2., 1307 København K"
"Georg Brandes Plads 10, st. 48, 1307 København K"
"Georg Brandes Plads 14, 1. 98, 1307 København K"
"Georg Brandes Plads 12, 3. 80, 1307 København K"
"Georg Brandes Plads 4, 1. 105, 1307 København K"
"Georg Brandes Plads 6, 1. 127, 1307 København K"
"Georg Brandes Plads 4, 1. 118, 1307 København K"
"Georg Brandes Plads 4, st. 37, 1307 København K"
"Georg Brandes Plads 12, 3. 76, 1307 København K"
"Georg Brandes Plads 6, 4. 435, 1307 København K"
"Georg Brandes Plads 4, 4. 433, 1307 København K"
"Georg Brandes Plads 4, 2. 202, 1307 København K"
"Georg Brandes Plads 10, 3. 37, 1307 København K"
"Georg Brandes Plads 6, 1. 138, 1307 København K"
"Sølvgade 38F, 2., 1307 København K"
"Georg Brandes Plads 6, 4. 434, 1307 København K"
"Georg Brandes Plads 12, 4. 70, 1307 København K"
"Georg Brandes Plads 10, 2. 46, 1307 København K"
"Georg Brandes Plads 8, 1. 27, 1307 København K"
"Georg Brandes Plads 10, st. 46, 1307 København K"
"Georg Brandes Plads 6, st. 4, 1307 København K"
"Georg Brandes Plads 10, 1. 32, 1307 København K"
"Sølvgade 26, 1307 København K"
"Georg Brandes Plads 4, 4. 412, 1307 København K"
"Georg Brandes Plads 6, st. 24, 1307 København K"
"Georg Brandes Plads 4, st. 36, 1307 København K"
"Sølvgade 10, 5. th, 1307 København K"
"Georg Brandes Plads 6, 2. 230, 1307 København K"
"Sølvgade 92B, 1307 København K"
"Georg Brandes Plads 4, st. 29, 1307 København K"
"Georg Brandes Plads 6, st. 31, 1307 København K"
"Georg Brandes Plads 6, 2. 231, 1307 København K"
"Georg Brandes Plads 16, 4. 106, 1307 København K"
"Georg Brandes Plads 4, 1. 116, 1307 København K"
"Georg Brandes Plads 4, st. 43, 1307 København K"
"Georg Brandes Plads 12, 3. 55, 1307 København K"
"Georg Brandes Plads 10, 2. 48, 1307 København K"
"Georg Brandes Plads 10, 4. 36, 1307 København K"
"Georg Brandes Plads 16, 4. 81, 1307 København K"
"Georg Brandes Plads 8, 2. 17, 1307 København K"
"Georg Brandes Plads 12, 3. 49, 1307 København K"
"Georg Brandes Plads 8, 2. 12, 1307 København K"
"Georg Brandes Plads 8, 1. 18, 1307 København K"
"Sølvgade 83H, 1., 1307 København K"
"Georg Brandes Plads 8, st. 13, 1307 København K"
"Georg Brandes Plads 14, st. 102, 1307 København K"
"Georg Brandes Plads 12, 1. 62, 1307 København K"
"Georg Brandes Plads 8, 3. 12, 1307 København K"
"Georg Brandes Plads 4, 2. 213, 1307 København K"
"Georg Brandes Plads 8, 2. 19, 1307 København K"
"Sølvgade 10, 5. tv, 1307 København K"
"Georg Brandes Plads 16, 1. 104, 1307 København K"
"Georg Brandes Plads 6, st. 9, 1307 København K"
"Georg Brandes Plads 6, st. 11, 1307 København K"
"Georg Brandes Plads 6, 3. 325, 1307 København K"
"Georg Brandes Plads 10, 2. 43, 1307 København K"
"Georg Brandes Plads 4, 2. 216, 1307 København K"
"Georg Brandes Plads 4, st. 13, 1307 København K"
"Sølvgade 31, 1307 København K"
"Sølvgade 10, 2. th, 1307 København K"
"Georg Brandes Plads 4, st. 40, 1307 København K"
"Georg Brandes Plads 2, 2., 1307 København K"
"Georg Brandes Plads 14, 4. 75, 1307 København K"
"Georg Brandes Plads 16, st. 104, 1307 København K"
"Georg Brandes Plads 8, 2. 9, 1307 København K"
"Sølvgade 83A, 1307 København K"
"Georg Brandes Plads 4, st. 2, 1307 København K"
"Georg Brandes Plads 10, st. 54, 1307 København K"
"Georg Brandes Plads 6, 4. 444, 1307 København K"
"Georg Brandes Plads 8, 4. 9, 1307 København K"
"Georg Brandes Plads 12, 2. 47, 1307 København K"
"Georg Brandes Plads 6, 2. 219, 1307 København K"
"Georg Brandes Plads 4, 3. 305, 1307 København K"
"Georg Brandes Plads 12, 3. 60, 1307 København K"
"Georg Brandes Plads 10, 2. 44, 1307 København K"
"Georg Brandes Plads 4, st. 3, 1307 København K"
"Georg Brandes Plads 10, 1. 54, 1307 København K"
"Georg Brandes Plads 6, st. 2, 1307 København K"
"Georg Brandes Plads 4, 2. 211, 1307 København K"
"Sølvgade 50, 1307 København K"
"Georg Brandes Plads 14, 4. 71, 1307 København K"
"Georg Brandes Plads 12, 4. 56, 1307 København K"
"Georg Brandes Plads 6, st. 34, 1307 København K"
"Georg Brandes Plads 4, st. 22, 1307 København K"
"Georg Brandes Plads 4, 2. 243, 1307 København K"
"Georg Brandes Plads 6, 1. 3, 1307 København K"
"Sølvgade 105, 1307 København K"
"Georg Brandes Plads 6, 4. 6, 1307 København K"
"Georg Brandes Plads 14, st. 82, 1307 København K"
"Georg Brandes Plads 4, st. 34, 1307 København K"
"Georg Brandes Plads 8, 1. 30, 1307 København K"
"Sølvgade 38E, 3., 1307 København K"
"Georg Brandes Plads 6, 4. 426, 1307 København K"
"Georg Brandes Plads 4, 4. 440, 1307 København K"
"Georg Brandes Plads 4, 1. 101, 1307 København K"
"Georg Brandes Plads 12, st. 66, 1307 København K"
"Georg Brandes Plads 10, 4. 50, 1307 København K"
"Georg Brandes Plads 6, 4. 415, 1307 København K"
"Georg Brandes Plads 4, st. 4, 1307 København K"
"Georg Brandes Plads 6, 2. 211, 1307 København K"
"Sølvgade 40F, 1., 1307 København K"
"Georg Brandes Plads 14, 2. 96, 1307 København K"
"Georg Brandes Plads 8, 4. 19, 1307 København K"
"Georg Brandes Plads 14, st. 69, 1307 København K"
"Georg Brandes Plads 8, 1307 København K"
"Georg Brandes Plads 10, 1. 42, 1307 København K"
"Georg Brandes Plads 6, st. 2, 1307 København K"
"Georg Brandes Plads 14, 3. 98, 1307 København K"
"Georg Brandes Plads 4, st. 28, 1307 København K"
"Georg Brandes Plads 6, st. 28, 1307 København K"
"Sølvgade 40G, 1., 1307 København K"
"Georg Brandes Plads 12, 2. 57, 1307 København K"
"Sølvgade 38F, st. tv, 1307 København K"
"Georg Brandes Plads 4, st. 26, 1307 København K"
"Georg Brandes Plads 6, 4. 448, 1307 København K"
"Georg Brandes Plads 10, 2. 37, 1307 København K"
"Georg Brandes Plads 4, st. 50, 1307 København K"
"Georg Brandes Plads 8, st. 16, 1307 København K"
"Georg Brandes Plads 12, 3. 57, 1307 København K"
"Georg Brandes Plads 12, 1. 68, 1307 København K"
"Georg Brandes Plads 6, 4. 423, 1307 København K"
"Georg Brandes Plads 4, 1. 109, 1307 København K"
"Georg Brandes Plads 6, 3. 303, 1307 København K"
"Georg Brandes Plads 12, 1. 47, 1307 København K"
"Georg Brandes Plads 12, st. 51, 1307 København K"
"Georg Brandes Plads 4, 2. 236, 1307 København K"
"Sølvgade 38E, kl. tv, 1307 København K"
"Georg Brandes Plads 12, st. 74, 1307 København K"
"Georg Brandes Plads 12, st. 56, 1307 København K"
"Georg Brandes Plads 8, 2. 14, 1307 København K"
"Georg Brandes Plads 6, 3. 324, 1307 København K"
"Sølvgade 16, 1307 København K"
"Georg Brandes Plads 14, 4. 65, 1307 København K"
"Georg Brandes Plads 6, 1. 135, 1307 København K"
"Sølvgade 38, 2. th, 1307 København K"
"Georg Brandes Plads 6, 3. 326, 1307 København K"
"Georg Brandes Plads 4, 4. 417, 1307 København K"
"Georg Brandes Plads 4, st. 11, 1307 København K"
"Georg Brandes Plads 14, 1. 96, 1307 København K"
"Georg Brandes Plads 12, st. 68, 1307 København K"
"Georg Brandes Plads 6, st. 48, 1307 København K"
"Georg Brandes Plads 12, 3. 78, 1307 København K"
"Georg Brandes Plads 6, 3. 304, 1307 København K"
"Georg Brandes Plads 8, 4. 25, 1307 København K"
"Georg Brandes Plads 14, 2. 86, 1307 København K"
"Georg Brandes Plads 3, st., 1307 København K"
"Georg Brandes Plads 8, 2. 20, 1307 København K"
"Georg Brandes Plads 8, 4. 27, 1307 København K"
"Georg Brandes Plads 12, 4. 51, 1307 København K"
"Georg Brandes Plads 10, 1. 37, 1307 København K"
"Georg Brandes Plads 6, 1. 4, 1307 København K"
"Georg Brandes Plads 4, st. 43, 1307 København K"
"Georg Brandes Plads 6, 3. 8, 1307 København K"
"Georg Brandes Plads 4, st. 2, 1307 København K"
"Georg Brandes Plads 6, 2. 233, 1307 København K"
"Georg Brandes Plads 16, 1. 81, 1307 København K"
"Georg Brandes Plads 6, 1. 152, 1307 København K"
"Georg Brandes Plads 4, 1. 111, 1307 København K"
"Georg Brandes Plads 10, 4. 37, 1307 København K"
"Georg Brandes Plads 6, 1. 104, 1307 København K"
"Georg Brandes Plads 6, st. 44, 1307 København K"
"Georg Brandes Plads 6, 2. 209, 1307 København K"
"Georg Brandes Plads 14, 3. 92, 1307 København K"
"Georg Brandes Plads 6, 3. 307, 1307 København K"
"Georg Brandes Plads 4, 3. 350, 1307 København K"
"Georg Brandes Plads 8, 3. 11, 1307 København K"
"Georg Brandes Plads 8, 1. 17, 1307 København K"
"Sølvgade 10, 4. th, 1307 København K"
"Georg Brandes Plads 4, 1. 137, 1307 København K"
"Georg Brandes Plads 6, st. 33, 1307 København K"
"Georg Brandes Plads 6, st. 40, 1307 København K"
"Georg Brandes Plads 6, st. 4, 1307 København K"
"Georg Brandes Plads 4, st. 24, 1307 København K"
"Sølvgade 83S, 1307 København K"
"Georg Brandes Plads 4, 3. 341, 1307 København K"
"Georg Brandes Plads 6, 4. 446, 1307 København K"
"Georg Brandes Plads 4, st. 1, 1307 København K"
"Georg Brandes Plads 4, st. 42, 1307 København K"
"Georg Brandes Plads 4, st. 25, 1307 København K"
"Sølvgade 38E, 1., 1307 København K"
"Georg Brandes Plads 6, 2. 205, 1307 København K"
"Georg Brandes Plads 6, 2. 224, 1307 København K"
"Georg Brandes Plads 4, 1. 136, 1307 København K"
"Georg Brandes Plads 2, 3., 1307 København K"
"Georg Brandes Plads 4, 1. 150, 1307 København K"
"Georg Brandes Plads 6, 2. 246, 1307 København K"
"Georg Brandes Plads 4, 4. 444, 1307 København K"
"Georg Brandes Plads 12, 3. 66, 1307 København K"
"Georg Brandes Plads 4, st. 24, 1307 København K"
"Georg Brandes Plads 6, 4. 433, 1307 København K"
"Georg Brandes Plads 14, 1. 73, 1307 København K"
"Georg Brandes Plads 4, 1. 148, 1307 København K"
"Georg Brandes Plads 10, st. 40, 1307 København K"
"Georg Brandes Plads 6, 3. 2, 1307 København K"
"Georg Brandes Plads 14, 3. 73, 1307 København K"
"Georg Brandes Plads 6, 2. 206, 1307 København K"
"Georg Brandes Plads 12, 3. 58, 1307 København K"
"Sølvgade 38D, 2., 1307 København K"
"Sølvgade 85, 1307 København K"
"Georg Brandes Plads 8, 4. 28, 1307 København K"
"Georg Brandes Plads 10, 3. 39, 1307 København K"
"Georg Brandes Plads 6, st. 19, 1307 København K"
"Sølvgade 38F, 2., 1307 København K"
"Georg Brandes Plads 4, st. 20, 1307 København K"
"Georg Brandes Plads 12, 2. 80, 1307 København K"
"Georg Brandes Plads 12, 2. 49, 1307 København K"
"Georg Brandes Plads 4, 2. 241, 1307 København K"
"Georg Brandes Plads 4, 3. 348, 1307 København K"
"Georg Brandes Plads 4, 2. 242, 1307 København K"
"Georg Brandes Plads 8, 3. 25, 1307 København K"
"Georg Brandes Plads 4, st. 3, 1307 København K"
"Georg Brandes Plads 6, 4. 405, 1307 København K"
"Sølvgade 34, 1307 København K"
"Georg Brandes Plads 6, 1. 136, 1307 København K"
"Georg Brandes Plads 14, 4. 86, 1307 København K"
"Georg Brandes Plads 6, 2. 228, 1307 København K"
"Georg Brandes Plads 12, 4. 49, 1307 København K"
"Georg Brandes Plads 4, 1. 141, 1307 København K"
"Georg Brandes Plads 6, 3. 332, 1307 København K"
"Georg Brandes Plads 4, st. 36, 1307 København K"
"Georg Brandes Plads 6, 1. 110, 1307 København K"
"Sølvgade 38D, 3., 1307 København K"
"Georg Brandes Plads 12, 2. 59, 1307 København K"
"Georg Brandes Plads 4, 4. 434, 1307 København K"
"Georg Brandes Plads 10, 1. 33, 1307 København K"
"Georg Brandes Plads 4, 2. 206, 1307 København K"
"Georg Brandes Plads 6, st. 17, 1307 København K"
"Georg Brandes Plads 12, 1. 74, 1307 København K"
"Georg Brandes Plads 6, 3. 5, 1307 København K"
"Sølvgade 40F, 2., 1307 København K"
"Sølvgade 40D, 2., 1307 København K"
"Georg Brandes Plads 8, st. 18, 1307 København K"
"Georg Brandes Plads 4, st. 37, 1307 København K"
"Georg Brandes Plads 10, 3. 44, 1307 København K"
"Øster Voldgade 6, kl., 1307 København K"
"Georg Brandes Plads 4, 3. 328, 1307 København K"
"Georg Brandes Plads 8, 3. 19, 1307 København K"
"Georg Brandes Plads 6, 1. 1, 1307 København K"
"Georg Brandes Plads 14, 3. 67, 1307 København K"
"Georg Brandes Plads 6, 2. 250, 1307 København K"
"Georg Brandes Plads 8, 1. 26, 1307 København K"
"Sølvgade 38D, 2. tv, 1307 København K"
"Georg Brandes Plads 6, st. 38, 1307 København K"
"Georg Brandes Plads 6, 1. 120, 1307 København K"
"Georg Brandes Plads 6, 3. 330, 1307 København K"
"Georg Brandes Plads 6, st. 27, 1307 København K"
"Georg Brandes Plads 6, st. 13, 1307 København K"
"Georg Brandes Plads 4, 3. 307, 1307 København K"
"Georg Brandes Plads 4, 2. 231, 1307 København K"
"Georg Brandes Plads 12, 3. 47, 1307 København K"
"Sølvgade 94, 1307 København K"
"Georg Brandes Plads 4, 3. 340, 1307 København K"
"Sølvgade 10, st. tv, 1307 København K"
"Sølvgade 48, 3., 1307 København K"
"Georg Brandes Plads 4, st. 30, 1307 København K"
"Georg Brandes Plads 8, st. 26, 1307 København K"
"Georg Brandes Plads 12, 4. 45, 1307 København K"
"Georg Brandes Plads 6, 3. 318, 1307 København K"
"Georg Brandes Plads 6, st. 32, 1307 København K"
"Georg Brandes Plads 4, st. 39, 1307 København K"
"Georg Brandes Plads 8, st. 7, 1307 København K"
"Georg Brandes Plads 6, 4. 416, 1307 København K"
"Georg Brandes Plads 4, 3. 333, 1307 København K"
"Georg Brandes Plads 10, 3. 54, 1307 København K"
"Georg Brandes Plads 14, 2. 84, 1307 København K"
"Georg Brandes Plads 8, 3. 14, 1307 København K"
"Georg Brandes Plads 6, 1. 2, 1307 København K"
"Georg Brandes Plads 6, st. 24, 1307 København K"
"Sølvgade 92, 1307 København K"
"Georg Brandes Plads 8, 1. 16, 1307 København K"
"Georg Brandes Plads 6, 4. 410, 1307 København K"
"Georg Brandes Plads 8, 1. 7, 1307 København K"
"Georg Brandes Plads 10, 1. 44, 1307 København K"
"Georg Brandes Plads 6, 3. 348, 1307 København K"
"Georg Brandes Plads 14, 3. 100, 1307 København K"
"Georg Brandes Plads 6, st. 27, 1307 København K"
"Sølvgade 81B, 1307 København K"
"Georg Brandes Plads 4, st. 28, 1307 København K"
"Georg Brandes Plads 6, st. 23, 1307 København K"
"Georg Brandes Plads 10, 1. 52, 1307 København K"
"Georg Brandes Plads 10, st. 34, 1307 København K"
"Georg Brandes Plads 6, 3. 311, 1307 København K"
"Georg Brandes Plads 6, 2. 234, 1307 København K"
"Georg Brandes Plads 6, 1. 123, 1307 København K"
"Georg Brandes Plads 6, 4. 414, 1307 København K"
"Georg Brandes Plads 14, 1. 71, 1307 København K"
"Sølvgade 83S, st., 1307 København K"
"Georg Brandes Plads 4, 1. 146, 1307 København K"
"Georg Brandes Plads 6, 3. 328, 1307 København K"
"Georg Brandes Plads 10, 2. 31, 1307 København K"
"Georg Brandes Plads 4, 1. 126, 1307 København K"
"Georg Brandes Plads 6, st. 8, 1307 København K"
"Georg Brandes Plads 6, st. 52, 1307 København K"
"Georg Brandes Plads 6, 3. 301, 1307 København K"
"Georg Brandes Plads 10, 1. 39, 1307 København K"
"Georg Brandes Plads 4, 3. 336, 1307 København K"
"Georg Brandes Plads 6, st. 15, 1307 København K"
"Georg Brandes Plads 2, 1., 1307 København K"
"Georg Brandes Plads 4, 2. 210, 1307 København K"
"Georg Brandes Plads 12, st. 45, 1307 København K"
"Georg Brandes Plads 8, st. 28, 1307 København K"
"Georg Brandes Plads 4, 4. 403, 1307 København K"
"Sølvgade 38E, st., 1307 København K"
"Georg Brandes Plads 6, st. 29, 1307 København K"
"Georg Brandes Plads 12, st. 59, 1307 København K"
"Georg Brandes Plads 6, 1. 114, 1307 København K"
"Sølvgade 83T, 1307 København K"
"Georg Brandes Plads 6, 3. 306, 1307 København K"
"Georg Brandes Plads 14, 1. 90, 1307 København K"
"Georg Brandes Plads 6, 2. 202, 1307 København K"
"Georg Brandes Plads 4, st. 19, 1307 København K"
"Georg Brandes Plads 14, 2. 92, 1307 København K"
"Georg Brandes Plads 6, st. 42, 1307 København K"
"Sølvgade 38G, 1307 København K"
"Georg Brandes Plads 6, 2. 225, 1307 København K"
"Georg Brandes Plads 4, 1. 131, 1307 København K"
"Sølvgade 83H, 1307 København K"
"Georg Brandes Plads 10, 3. 52, 1307 København K"
"Georg Brandes Plads 6, 3. 309, 1307 København K"
"Georg Brandes Plads 4, st. 31, 1307 København K"
"Georg Brandes Plads 4, 4. 430, 1307 København K"
"Sølvgade 81, 1307 København K"
"Georg Brandes Plads 4, 1. 135, 1307 København K"
"Georg Brandes Plads 8, 1. 28, 1307 København K"
"Georg Brandes Plads 4, 2. 246, 1307 København K"
"Sølvgade 48, 4., 1307 København K"
"Georg Brandes Plads 6, st. 31, 1307 København K"
"Georg Brandes Plads 4, 2. 230, 1307 København K"
"Georg Brandes Plads 6, 1. 146, 1307 København K"
"Sølvgade 36A, 1307 København K"
"Georg Brandes Plads 8, 1. 12, 1307 København K"
"Georg Brandes Plads 4, 1. 122, 1307 København K"
"Georg Brandes Plads 6, 3. 310, 1307 København K"
"Georg Brandes Plads 10, 2. 40, 1307 København K"
"Georg Brandes Plads 8, 4. 20, 1307 København K"
"Georg Brandes Plads 8, 1. 23, 1307 København K"
"Georg Brandes Plads 6, 4. 1, 1307 København K"
"Georg Brandes Plads 12, st. 72, 1307 København K"
"Georg Brandes Plads 14, 1. 65, 1307 København K"
"Sølvgade 10, 6. tv, 1307 København K"
"Georg Brandes Plads 6, 4. 437, 1307 København K"
"Georg Brandes Plads 10, st. 42, 1307 København K"
"Georg Brandes Plads 4, st. 35, 1307 København K"
"Sølvgade 14A, kl. tv, 1307 København K"
"Sølvgade 4, 1307 København K"
"Georg Brandes Plads 4, 1. 125, 1307 København K"
"Sølvgade 6C, 1307 København K"
"Georg Brandes Plads 6, st. 5, 1307 København K"
"Georg Brandes Plads 4, 2. 220, 1307 København K"
"Georg Brandes Plads 4, 4. 426, 1307 København K"
"Georg Brandes Plads 14, st. 63, 1307 København K"
"Georg Brandes Plads 4, 2. 222, 1307 København K"
"Georg Brandes Plads 8, 2. 27, 1307 København K"
"Sølvgade 40B, 1307 København K"
"Georg Brandes Plads 6, 3. 317, 1307 København K"
"Georg Brandes Plads 16, 2. 108, 1307 København K"
"Georg Brandes Plads 10, 1. 40, 1307 København K"
"Georg Brandes Plads 14, 2. 71, 1307 København K"
