"Almindingensvej 27A, Østermarie, 3751 Østermarie"
"Saltunavej 13, Østermarie, 3751 Østermarie"
"Savmøllevej 10, Østermarie, 3751 Østermarie"
"Skrullevej 3A, Østermarie, 3751 Østermarie"
"Skrullevej 4A, Østermarie, 3751 Østermarie"
"Skrullevej 3B, Østermarie, 3751 Østermarie"
"Skrullevej 4A, Østermarie, 3751 Østermarie"
"Almindingensvej 2, Østermarie, 3751 Østermarie"
"Almindingensvej 1, Østermarie, 3751 Østermarie"
"Almindingensvej 3, Østermarie, 3751 Østermarie"
"Almindingensvej 4, Østermarie, 3751 Østermarie"
"Almindingensvej 6, Østermarie, 3751 Østermarie"
"Almindingensvej 5, Østermarie, 3751 Østermarie"
"Almindingensvej 8, Østermarie, 3751 Østermarie"
"Almindingensvej 9A, Østermarie, 3751 Østermarie"
"Almindingensvej 9, Østermarie, 3751 Østermarie"
"Almindingensvej 10, Østermarie, 3751 Østermarie"
"Almindingensvej 11, Østermarie, 3751 Østermarie"
"Almindingensvej 12, Østermarie, 3751 Østermarie"
"Almindingensvej 14, Østermarie, 3751 Østermarie"
"Almindingensvej 15, Østermarie, 3751 Østermarie"
"Almindingensvej 13, Østermarie, 3751 Østermarie"
"Almindingensvej 17, Østermarie, 3751 Østermarie"
"Almindingensvej 18, Østermarie, 3751 Østermarie"
"Almindingensvej 20, Østermarie, 3751 Østermarie"
"Almindingensvej 19, Østermarie, 3751 Østermarie"
"Almindingensvej 21, Østermarie, 3751 Østermarie"
"Almindingensvej 23, Østermarie, 3751 Østermarie"
"Almindingensvej 24, Østermarie, 3751 Østermarie"
"Almindingensvej 26, Østermarie, 3751 Østermarie"
"Almindingensvej 25, Østermarie, 3751 Østermarie"
"Almindingensvej 28, Østermarie, 3751 Østermarie"
"Almindingensvej 30, Østermarie, 3751 Østermarie"
"Almindingensvej 31, Østermarie, 3751 Østermarie"
"Almindingensvej 31, 1, Østermarie, 3751 Østermarie"
"Almindingensvej 32, Østermarie, 3751 Østermarie"
"Almindingensvej 33, Østermarie, 3751 Østermarie"
"Almindingensvej 34, Østermarie, 3751 Østermarie"
"Almindingensvej 35, Østermarie, 3751 Østermarie"
"Almindingensvej 36, Østermarie, 3751 Østermarie"
"Almindingensvej 37, Østermarie, 3751 Østermarie"
"Almindingensvej 38, Østermarie, 3751 Østermarie"
"Almindingensvej 39, Østermarie, 3751 Østermarie"
"Almindingensvej 40, Østermarie, 3751 Østermarie"
"Almindingensvej 43, Østermarie, 3751 Østermarie"
"Almindingensvej 44, Østermarie, 3751 Østermarie"
"Almindingensvej 45, Østermarie, 3751 Østermarie"
"Almindingensvej 46, Østermarie, 3751 Østermarie"
"Almindingensvej 47, Østermarie, 3751 Østermarie"
"Almindingensvej 48, Østermarie, 3751 Østermarie"
"Almindingensvej 50, Østermarie, 3751 Østermarie"
"Almindingensvej 51, Østermarie, 3751 Østermarie"
"Almindingensvej 49, Østermarie, 3751 Østermarie"
"Almindingensvej 52, Østermarie, 3751 Østermarie"
"Almindingensvej 54, Østermarie, 3751 Østermarie"
"Almindingensvej 55, Østermarie, 3751 Østermarie"
"Almindingensvej 56, Østermarie, 3751 Østermarie"
"Almindingensvej 57, Østermarie, 3751 Østermarie"
"Almindingensvej 58, Østermarie, 3751 Østermarie"
"Almindingensvej 59, Østermarie, 3751 Østermarie"
"Almindingensvej 60, Østermarie, 3751 Østermarie"
"Almindingensvej 62, Østermarie, 3751 Østermarie"
"Almindingensvej 65, Østermarie, 3751 Østermarie"
"Almindingensvej 70, Østermarie, 3751 Østermarie"
"Almindingensvej 66, Østermarie, 3751 Østermarie"
"Almindingensvej 68, Østermarie, 3751 Østermarie"
"Almindingensvej 72, Østermarie, 3751 Østermarie"
"Almindingensvej 74, Østermarie, 3751 Østermarie"
"Almindingensvej 76, Østermarie, 3751 Østermarie"
"Almindingensvej 78, Østermarie, 3751 Østermarie"
"Almindingensvej 80, Østermarie, 3751 Østermarie"
"Almindingensvej 84, Østermarie, 3751 Østermarie"
"Almindingensvej 86, Østermarie, 3751 Østermarie"
"Bogfinkevej 1, Østermarie, 3751 Østermarie"
"Bogfinkevej 2, Østermarie, 3751 Østermarie"
"Bogfinkevej 3, Østermarie, 3751 Østermarie"
"Bogfinkevej 4, Østermarie, 3751 Østermarie"
"Bogfinkevej 5, Østermarie, 3751 Østermarie"
"Bogfinkevej 6, Østermarie, 3751 Østermarie"
"Bogfinkevej 7, Østermarie, 3751 Østermarie"
"Kirkeskolevej 9, Østermarie, 3751 Østermarie"
"Ølenevej 16, Østermarie, 3751 Østermarie"
"Åløsevej 33, Østermarie, 3751 Østermarie"
"Stenbakkevej 1, Østermarie, 3751 Østermarie"
"Torvegade 2C, Østermarie, 3751 Østermarie"
"Løvsangervej 2, 1. 32, Østermarie, 3751 Østermarie"
"Nordvej 11A, Østermarie, 3751 Østermarie"
"Saltunavej 3B, Østermarie, 3751 Østermarie"
"Lærkevej 15, Østermarie, 3751 Østermarie"
"Buskevej 1, Østermarie, 3751 Østermarie"
"Buskevej 2, Østermarie, 3751 Østermarie"
"Buskevej 4, Østermarie, 3751 Østermarie"
"Buskevej 6, Østermarie, 3751 Østermarie"
"Buskevej 10, Østermarie, 3751 Østermarie"
"Buskevej 12, Østermarie, 3751 Østermarie"
"Buskevej 14, Østermarie, 3751 Østermarie"
"Bølshavn 1, Bølshavn, 3751 Østermarie"
"Bølshavn 2, Bølshavn, 3751 Østermarie"
"Bølshavnvej 1, 3751 Østermarie"
"Dalslundevej 2, Østermarie, 3751 Østermarie"
"Dalslundevej 3, Østermarie, 3751 Østermarie"
"Dalslundevej 4, Østermarie, 3751 Østermarie"
"Dalslundevej 8, Østermarie, 3751 Østermarie"
"Dalslundevej 10, Østermarie, 3751 Østermarie"
"Randkløvevej 26A, Østermarie, 3751 Østermarie"
"Drosselvej 2, Østermarie, 3751 Østermarie"
"Drosselvej 3, Østermarie, 3751 Østermarie"
"Drosselvej 4, Østermarie, 3751 Østermarie"
"Drosselvej 6, Østermarie, 3751 Østermarie"
"Drosselvej 8, Østermarie, 3751 Østermarie"
"Almindingensvej 35A, Østermarie, 3751 Østermarie"
"Dyndevej 1, Østermarie, 3751 Østermarie"
"Dyndevej 2, Østermarie, 3751 Østermarie"
"Dyndevej 4, Østermarie, 3751 Østermarie"
"Dyndevej 3, Østermarie, 3751 Østermarie"
"Dyndevej 5, Østermarie, 3751 Østermarie"
"Dyndevej 7, Østermarie, 3751 Østermarie"
"Dyndevej 10, Østermarie, 3751 Østermarie"
"Dyndevej 8, Østermarie, 3751 Østermarie"
"Dyndevej 9, Østermarie, 3751 Østermarie"
"Dyndevej 11, Østermarie, 3751 Østermarie"
"Dyndevej 12, Østermarie, 3751 Østermarie"
"Dyndevej 13, Østermarie, 3751 Østermarie"
"Dyndevej 14, Østermarie, 3751 Østermarie"
"Dyndevej 16, Østermarie, 3751 Østermarie"
"Dyndevej 17, Østermarie, 3751 Østermarie"
"Dyndevej 18, Østermarie, 3751 Østermarie"
"Dyndevej 20, Østermarie, 3751 Østermarie"
"Dyndevej 19, Østermarie, 3751 Østermarie"
"Elmevej 2, Østermarie, 3751 Østermarie"
"Elmevej 1, Østermarie, 3751 Østermarie"
"Elmevej 3, Østermarie, 3751 Østermarie"
"Elmevej 8, Østermarie, 3751 Østermarie"
"Elmevej 4, Østermarie, 3751 Østermarie"
"Elmevej 7, Østermarie, 3751 Østermarie"
"Elmevej 9, Østermarie, 3751 Østermarie"
"Flæskedalsvej 7, 3751 Østermarie"
"Gadebyvej 1, Østermarie, 3751 Østermarie"
"Gadebyvej 2, Østermarie, 3751 Østermarie"
"Gadebyvej 4, Østermarie, 3751 Østermarie"
"Gadebyvej 6, Østermarie, 3751 Østermarie"
"Glappevej 4, Østermarie, 3751 Østermarie"
"Glappevej 5, Østermarie, 3751 Østermarie"
"Glappevej 7, Østermarie, 3751 Østermarie"
"Glappevej 9, Østermarie, 3751 Østermarie"
"Glappevej 10, Østermarie, 3751 Østermarie"
"Glappevej 12, Østermarie, 3751 Østermarie"
"Godthåbsvej 1, Østermarie, 3751 Østermarie"
"Godthåbsvej 2, Østermarie, 3751 Østermarie"
"Godthåbsvej 3, Østermarie, 3751 Østermarie"
"Godthåbsvej 4, Østermarie, 3751 Østermarie"
"Godthåbsvej 6, Østermarie, 3751 Østermarie"
"Godthåbsvej 8, Østermarie, 3751 Østermarie"
"Godthåbsvej 9, Østermarie, 3751 Østermarie"
"Godthåbsvej 10, Østermarie, 3751 Østermarie"
"Godthåbsvej 11, Østermarie, 3751 Østermarie"
"Godthåbsvej 12, Østermarie, 3751 Østermarie"
"Godthåbsvej 13, Østermarie, 3751 Østermarie"
"Godthåbsvej 14, Østermarie, 3751 Østermarie"
"Godthåbsvej 15, Østermarie, 3751 Østermarie"
"Godthåbsvej 16, Østermarie, 3751 Østermarie"
"Godthåbsvej 17, Østermarie, 3751 Østermarie"
"Godthåbsvej 18, Østermarie, 3751 Østermarie"
"Godthåbsvej 19, Østermarie, 3751 Østermarie"
"Godthåbsvej 20, Østermarie, 3751 Østermarie"
"Godthåbsvej 22, Østermarie, 3751 Østermarie"
"Godthåbsvej 23, Østermarie, 3751 Østermarie"
"Godthåbsvej 24, Østermarie, 3751 Østermarie"
"Godthåbsvej 25, Østermarie, 3751 Østermarie"
"Godthåbsvej 26, Østermarie, 3751 Østermarie"
"Godthåbsvej 26, 1., Østermarie, 3751 Østermarie"
"Godthåbsvej 27, Østermarie, 3751 Østermarie"
"Godthåbsvej 27, st. 1, Østermarie, 3751 Østermarie"
"Godthåbsvej 28, Østermarie, 3751 Østermarie"
"Godthåbsvej 7, Østermarie, 3751 Østermarie"
"Godthåbsvej 21, Østermarie, 3751 Østermarie"
"Godthåbsvej 30, Østermarie, 3751 Østermarie"
"Godthåbsvej 31, Østermarie, 3751 Østermarie"
"Godthåbsvej 32, Østermarie, 3751 Østermarie"
"Godthåbsvej 33, Østermarie, 3751 Østermarie"
"Godthåbsvej 34, Østermarie, 3751 Østermarie"
"Godthåbsvej 35, Østermarie, 3751 Østermarie"
"Godthåbsvej 36, st., Østermarie, 3751 Østermarie"
"Godthåbsvej 36, Østermarie, 3751 Østermarie"
"Godthåbsvej 37, Østermarie, 3751 Østermarie"
"Godthåbsvej 38, Østermarie, 3751 Østermarie"
"Godthåbsvej 38, 1., Østermarie, 3751 Østermarie"
"Godthåbsvej 39, kl., Østermarie, 3751 Østermarie"
"Godthåbsvej 39, Østermarie, 3751 Østermarie"
"Godthåbsvej 40, Østermarie, 3751 Østermarie"
"Godthåbsvej 41, Østermarie, 3751 Østermarie"
"Godthåbsvej 42, Østermarie, 3751 Østermarie"
"Godthåbsvej 43, Østermarie, 3751 Østermarie"
"Godthåbsvej 44, Østermarie, 3751 Østermarie"
"Godthåbsvej 45, Østermarie, 3751 Østermarie"
"Godthåbsvej 47, Østermarie, 3751 Østermarie"
"Godthåbsvej 46, Østermarie, 3751 Østermarie"
"Godthåbsvej 48, Østermarie, 3751 Østermarie"
"Godthåbsvej 49, Østermarie, 3751 Østermarie"
"Godthåbsvej 50, Østermarie, 3751 Østermarie"
"Godthåbsvej 51, Østermarie, 3751 Østermarie"
"Ypnasted 1B, Ypnasted, 3751 Østermarie"
"Godthåbsvej 52, Østermarie, 3751 Østermarie"
"Godthåbsvej 53, Østermarie, 3751 Østermarie"
"Godthåbsvej 54, Østermarie, 3751 Østermarie"
"Godthåbsvej 55, Østermarie, 3751 Østermarie"
"Godthåbsvej 56, Østermarie, 3751 Østermarie"
"Godthåbsvej 57, Østermarie, 3751 Østermarie"
"Godthåbsvej 58, Østermarie, 3751 Østermarie"
"Godthåbsvej 59A, Østermarie, 3751 Østermarie"
"Godthåbsvej 59B, Østermarie, 3751 Østermarie"
"Godthåbsvej 60, Østermarie, 3751 Østermarie"
"Godthåbsvej 61, Østermarie, 3751 Østermarie"
"Godthåbsvej 63, Østermarie, 3751 Østermarie"
"Godthåbsvej 64, Østermarie, 3751 Østermarie"
"Godthåbsvej 66, Østermarie, 3751 Østermarie"
"Godthåbsvej 67, Østermarie, 3751 Østermarie"
"Godthåbsvej 70, Østermarie, 3751 Østermarie"
"Godthåbsvej 74, Østermarie, 3751 Østermarie"
"Godthåbsvej 76, Østermarie, 3751 Østermarie"
"Godthåbsvej 68, Østermarie, 3751 Østermarie"
"Godthåbsvej 72, Østermarie, 3751 Østermarie"
"Godthåbsvej 78, Østermarie, 3751 Østermarie"
"Torvegade 5, Østermarie, 3751 Østermarie"
"Grammegårdsvej 1, Østermarie, 3751 Østermarie"
"Grammegårdsvej 1, 1. tv, Østermarie, 3751 Østermarie"
"Grammegårdsvej 1, 1. th, Østermarie, 3751 Østermarie"
"Grammegårdsvej 3, Østermarie, 3751 Østermarie"
"Grammegårdsvej 4, Østermarie, 3751 Østermarie"
"Skrullevej 4, Østermarie, 3751 Østermarie"
"Savmøllevej 4, Østermarie, 3751 Østermarie"
"Savmøllevej 6, Østermarie, 3751 Østermarie"
"Havrehøjvej 1, Østermarie, 3751 Østermarie"
"Havrehøjvej 2, Østermarie, 3751 Østermarie"
"Havrehøjvej 4, Østermarie, 3751 Østermarie"
"Havrehøjvej 5, Østermarie, 3751 Østermarie"
"Havrehøjvej 6, Østermarie, 3751 Østermarie"
"Havrehøjvej 7, Østermarie, 3751 Østermarie"
"Havrehøjvej 8, Østermarie, 3751 Østermarie"
"Havrehøjvej 9, Østermarie, 3751 Østermarie"
"Havrehøjvej 10, Østermarie, 3751 Østermarie"
"Havrehøjvej 12, Østermarie, 3751 Østermarie"
"Hentregårdsvej 1, Østermarie, 3751 Østermarie"
"Hentregårdsvej 3, Østermarie, 3751 Østermarie"
"Hentregårdsvej 4, Østermarie, 3751 Østermarie"
"Hentregårdsvej 5, Østermarie, 3751 Østermarie"
"Hentregårdsvej 7, Østermarie, 3751 Østermarie"
"Hentregårdsvej 8, Østermarie, 3751 Østermarie"
"Hentregårdsvej 9, Østermarie, 3751 Østermarie"
"Hentregårdsvej 10, Østermarie, 3751 Østermarie"
"Hentregårdsvej 11, Østermarie, 3751 Østermarie"
"Hentregårdsvej 12, Østermarie, 3751 Østermarie"
"Heroldsvej 1, Østermarie, 3751 Østermarie"
"Heroldsvej 2, Østermarie, 3751 Østermarie"
"Heroldsvej 3, Østermarie, 3751 Østermarie"
"Idrætsvej 1, Østermarie, 3751 Østermarie"
"Idrætsvej 2C, Østermarie, 3751 Østermarie"
"Lundsvej 7, Østermarie, 3751 Østermarie"
"Lundsvej 8, Østermarie, 3751 Østermarie"
"Jættebrovej 1, Østermarie, 3751 Østermarie"
"Jættebrovej 2, Østermarie, 3751 Østermarie"
"Jættebrovej 4, Østermarie, 3751 Østermarie"
"Lundsvej 9, Østermarie, 3751 Østermarie"
"Kildevangsvej 1, Østermarie, 3751 Østermarie"
"Kildevangsvej 3, Østermarie, 3751 Østermarie"
"Kirkebyvej 1, Østermarie, 3751 Østermarie"
"Kirkebyvej 2, Østermarie, 3751 Østermarie"
"Kirkebyvej 3, Østermarie, 3751 Østermarie"
"Kirkebyvej 4, Østermarie, 3751 Østermarie"
"Kirkebyvej 5A, Østermarie, 3751 Østermarie"
"Kirkebyvej 5B, st., Østermarie, 3751 Østermarie"
"Kirkebyvej 5B, 1., Østermarie, 3751 Østermarie"
"Kirkebyvej 6, Østermarie, 3751 Østermarie"
"Kirkebyvej 7, Østermarie, 3751 Østermarie"
"Kirkebyvej 8, Østermarie, 3751 Østermarie"
"Kirkebyvej 9, Østermarie, 3751 Østermarie"
"Kirkebyvej 10, Østermarie, 3751 Østermarie"
"Kirkebyvej 11, Østermarie, 3751 Østermarie"
"Kirkebyvej 13, Østermarie, 3751 Østermarie"
"Kirkebyvej 14, Østermarie, 3751 Østermarie"
"Kirkebyvej 15, Østermarie, 3751 Østermarie"
"Kirkebyvej 16, Østermarie, 3751 Østermarie"
"Kirkebyvej 18, Østermarie, 3751 Østermarie"
"Kirkebyvej 19, Østermarie, 3751 Østermarie"
"Kirkebyvej 20, Østermarie, 3751 Østermarie"
"Kirkebyvej 21, Østermarie, 3751 Østermarie"
"Kirkebyvej 22, Østermarie, 3751 Østermarie"
"Kirkebyvej 23, Østermarie, 3751 Østermarie"
"Kirkebyvej 24, Østermarie, 3751 Østermarie"
"Kirkebyvej 25, Østermarie, 3751 Østermarie"
"Kirkebyvej 26, Østermarie, 3751 Østermarie"
"Kirkebyvej 27, Østermarie, 3751 Østermarie"
"Kirkebyvej 29, Østermarie, 3751 Østermarie"
"Kirkebyvej 30A, Østermarie, 3751 Østermarie"
"Kirkebyvej 30, Østermarie, 3751 Østermarie"
"Kirkebyvej 33C, Østermarie, 3751 Østermarie"
"Kirkebyvej 33, Østermarie, 3751 Østermarie"
"Kirkebyvej 34, Østermarie, 3751 Østermarie"
"Kirkebyvej 35, Østermarie, 3751 Østermarie"
"Kirkebyvej 36, Østermarie, 3751 Østermarie"
"Kirkebyvej 37, Østermarie, 3751 Østermarie"
"Kirkebyvej 39, Østermarie, 3751 Østermarie"
"Kirkebyvej 41, Østermarie, 3751 Østermarie"
"Kirkebyvej 42, Østermarie, 3751 Østermarie"
"Kirkebyvej 44, Østermarie, 3751 Østermarie"
"Kirkebyvej 46, Østermarie, 3751 Østermarie"
"Kirkebyvej 50, Østermarie, 3751 Østermarie"
"Kirkebyvej 52, Østermarie, 3751 Østermarie"
"Kirkebyvej 54, Østermarie, 3751 Østermarie"
"Lundsvej 10, Østermarie, 3751 Østermarie"
"Kirkeskolevej 1, Østermarie, 3751 Østermarie"
"Kirkeskolevej 2, Østermarie, 3751 Østermarie"
"Kirkeskolevej 3, Østermarie, 3751 Østermarie"
"Kirkeskolevej 4, Østermarie, 3751 Østermarie"
"Kirkeskolevej 5, Østermarie, 3751 Østermarie"
"Kirkeskolevej 6, Østermarie, 3751 Østermarie"
"Kirkeskolevej 7, Østermarie, 3751 Østermarie"
"Kirkeskolevej 11, Østermarie, 3751 Østermarie"
"Kirkeskolevej 14, Østermarie, 3751 Østermarie"
"Kirkeskolevej 15, Østermarie, 3751 Østermarie"
"Kirkeskolevej 22, Østermarie, 3751 Østermarie"
"Lundsvej 1, Østermarie, 3751 Østermarie"
"Lundsvej 2, Østermarie, 3751 Østermarie"
"Louisenlundvej 1, Østermarie, 3751 Østermarie"
"Louisenlundvej 4, Østermarie, 3751 Østermarie"
"Lundsvej 3, Østermarie, 3751 Østermarie"
"Louisenlundvej 5, Østermarie, 3751 Østermarie"
"Lundsvej 4, Østermarie, 3751 Østermarie"
"Lindetsvej 2, Østermarie, 3751 Østermarie"
"Lindetsvej 3, Østermarie, 3751 Østermarie"
"Lindetsvej 4, Østermarie, 3751 Østermarie"
"Lindetsvej 5, Østermarie, 3751 Østermarie"
"Lindetsvej 8, Østermarie, 3751 Østermarie"
"Lindetsvej 10, Østermarie, 3751 Østermarie"
"Lundsvej 5, Østermarie, 3751 Østermarie"
"Lundsvej 6, Østermarie, 3751 Østermarie"
"Lundsvej 14, Østermarie, 3751 Østermarie"
"Løvsangervej 1, Østermarie, 3751 Østermarie"
"Myregårdsvej 1, Østermarie, 3751 Østermarie"
"Myregårdsvej 2, Østermarie, 3751 Østermarie"
"Myregårdsvej 3, Østermarie, 3751 Østermarie"
"Myregårdsvej 4, Østermarie, 3751 Østermarie"
"Myregårdsvej 5, Østermarie, 3751 Østermarie"
"Myregårdsvej 7, Østermarie, 3751 Østermarie"
"Myregårdsvej 8, Østermarie, 3751 Østermarie"
"Myregårdsvej 9, Østermarie, 3751 Østermarie"
"Myregårdsvej 10, Østermarie, 3751 Østermarie"
"Myregårdsvej 11, Østermarie, 3751 Østermarie"
"Myregårdsvej 12, Østermarie, 3751 Østermarie"
"Myregårdsvej 14, Østermarie, 3751 Østermarie"
"Myregårdsvej 16, Østermarie, 3751 Østermarie"
"Myregårdsvej 20, Østermarie, 3751 Østermarie"
"Møllevej 1, Østermarie, 3751 Østermarie"
"Møllevej 2, Østermarie, 3751 Østermarie"
"Møllevej 3, Østermarie, 3751 Østermarie"
"Møllevej 4, Østermarie, 3751 Østermarie"
"Møllevej 5, Østermarie, 3751 Østermarie"
"Møllevej 6, Østermarie, 3751 Østermarie"
"Møllevej 7, Østermarie, 3751 Østermarie"
"Møllevej 8, Østermarie, 3751 Østermarie"
"Møllevej 10, Østermarie, 3751 Østermarie"
"Møllevej 12, Østermarie, 3751 Østermarie"
"Nordvej 2, Østermarie, 3751 Østermarie"
"Nordvej 4, Østermarie, 3751 Østermarie"
"Nordvej 6, Østermarie, 3751 Østermarie"
"Nybrovej 47, Østermarie, 3751 Østermarie"
"Nybrovej 58, Østermarie, 3751 Østermarie"
"Nybrovej 60, Østermarie, 3751 Østermarie"
"Nybrovej 62, Østermarie, 3751 Østermarie"
"Nydamsvej 1, Østermarie, 3751 Østermarie"
"Nydamsvej 2, Østermarie, 3751 Østermarie"
"Nydamsvej 4, Østermarie, 3751 Østermarie"
"Nydamsvej 7, Østermarie, 3751 Østermarie"
"Plantagevej 24, Østermarie, 3751 Østermarie"
"Plantagevej 28, Østermarie, 3751 Østermarie"
"Plantagevej 30, Østermarie, 3751 Østermarie"
"Plantagevej 34, Østermarie, 3751 Østermarie"
"Plantagevej 35A, Poulsker, 3751 Østermarie"
"Plantagevej 45, Ibsker, 3751 Østermarie"
"Plantagevej 51, Østermarie, 3751 Østermarie"
"Plantagevej 55, Østermarie, 3751 Østermarie"
"Plantagevej 57, Østermarie, 3751 Østermarie"
"Plantagevej 59, Østermarie, 3751 Østermarie"
"Plantagevej 61, Østermarie, 3751 Østermarie"
"Plantagevej 67, Østermarie, 3751 Østermarie"
"Præstegaden 1, Østermarie, 3751 Østermarie"
"Præstegaden 2, Østermarie, 3751 Østermarie"
"Præstegaden 3, Østermarie, 3751 Østermarie"
"Præstegaden 5, Østermarie, 3751 Østermarie"
"Præstegaden 6, Østermarie, 3751 Østermarie"
"Præstegaden 8, Østermarie, 3751 Østermarie"
"Præstegaden 9, Østermarie, 3751 Østermarie"
"Præstegaden 12, Østermarie, 3751 Østermarie"
"Randkløvevej 1, Østermarie, 3751 Østermarie"
"Randkløvevej 2, Østermarie, 3751 Østermarie"
"Randkløvevej 3, Østermarie, 3751 Østermarie"
"Randkløvevej 4, Østermarie, 3751 Østermarie"
"Randkløvevej 5, Østermarie, 3751 Østermarie"
"Randkløvevej 6, Østermarie, 3751 Østermarie"
"Randkløvevej 7, Østermarie, 3751 Østermarie"
"Randkløvevej 8, Østermarie, 3751 Østermarie"
"Randkløvevej 9, Østermarie, 3751 Østermarie"
"Randkløvevej 10A, Østermarie, 3751 Østermarie"
"Randkløvevej 10B, Østermarie, 3751 Østermarie"
"Randkløvevej 12A, Østermarie, 3751 Østermarie"
"Randkløvevej 12B, Østermarie, 3751 Østermarie"
"Randkløvevej 13, Østermarie, 3751 Østermarie"
"Randkløvevej 15, Østermarie, 3751 Østermarie"
"Randkløvevej 16, Østermarie, 3751 Østermarie"
"Randkløvevej 18, Østermarie, 3751 Østermarie"
"Randkløvevej 22, Østermarie, 3751 Østermarie"
"Randkløvevej 24, Østermarie, 3751 Østermarie"
"Randkløvevej 26E, Østermarie, 3751 Østermarie"
"Randkløvevej 26, Østermarie, 3751 Østermarie"
"Randkløvevej 30, Østermarie, 3751 Østermarie"
"Randkløvevej 36, Østermarie, 3751 Østermarie"
"Randkløvevej 38, Østermarie, 3751 Østermarie"
"Randkløvevej 40, Østermarie, 3751 Østermarie"
"Randkløvevej 42, Østermarie, 3751 Østermarie"
"Randkløvevej 46, Østermarie, 3751 Østermarie"
"Risenholmsvej 18, Østermarie, 3751 Østermarie"
"Risevej 1, Østermarie, 3751 Østermarie"
"Risevej 2, Østermarie, 3751 Østermarie"
"Risevej 3, Østermarie, 3751 Østermarie"
"Risevej 4, Østermarie, 3751 Østermarie"
"Risevej 5, Østermarie, 3751 Østermarie"
"Risevej 6, Østermarie, 3751 Østermarie"
"Risevej 7, Østermarie, 3751 Østermarie"
"Risevej 9, Østermarie, 3751 Østermarie"
"Risevej 11, Østermarie, 3751 Østermarie"
"Risevej 13, Østermarie, 3751 Østermarie"
"Rosenørns Allé 1, Østermarie, 3751 Østermarie"
"Rosenørns Allé 2A, Østermarie, 3751 Østermarie"
"Rosenørns Allé 2, Østermarie, 3751 Østermarie"
"Rosenørns Allé 3, Østermarie, 3751 Østermarie"
"Rosenørns Allé 4, Østermarie, 3751 Østermarie"
"Rosenørns Allé 6, Østermarie, 3751 Østermarie"
"Rosenørns Allé 7, Østermarie, 3751 Østermarie"
"Rosenørns Allé 8, Østermarie, 3751 Østermarie"
"Rosenørns Allé 9, Østermarie, 3751 Østermarie"
"Rosenørns Allé 10, Østermarie, 3751 Østermarie"
"Rosenørns Allé 11, Østermarie, 3751 Østermarie"
"Rosenørns Allé 13, Østermarie, 3751 Østermarie"
"Rosenørns Allé 15, Østermarie, 3751 Østermarie"
"Rosenørns Allé 17, Østermarie, 3751 Østermarie"
"Rosenørns Allé 19, Østermarie, 3751 Østermarie"
"Ypnasted 2B, Bølshavn, 3751 Østermarie"
"Kirkeskolevej 8, Østermarie, 3751 Østermarie"
"Ølenevej 40D, Østermarie, 3751 Østermarie"
"Glappevej 3, Østermarie, 3751 Østermarie"
"Glappevej 1, Østermarie, 3751 Østermarie"
"Heroldsvej 5, Østermarie, 3751 Østermarie"
"Kirkeskolevej 10, Østermarie, 3751 Østermarie"
"Præstegaden 10, Østermarie, 3751 Østermarie"
"Randkløvevej 20, Østermarie, 3751 Østermarie"
"Godthåbsvej 29, Østermarie, 3751 Østermarie"
"Godthåbsvej 29B, Østermarie, 3751 Østermarie"
"Godthåbsvej 29A, 29b, Østermarie, 3751 Østermarie"
