"Ørndrupvej 19, Karby, 7960 Karby"
"Kærhaven 6, V Hvidbjerg, 7960 Karby"
"Ørndrupvej 108, Torp, 7960 Karby"
"Karby Enge 1, Torp, 7960 Karby"
"Næssundvej 450, Karby, 7960 Karby"
"Skyttevej 16, Karby, 7960 Karby"
"Grønvej 5A, Karby, 7960 Karby"
"Næssundvej 325, V Hvidbjerg, 7960 Karby"
"Næssundvej 337, V Hvidbjerg, 7960 Karby"
"Vadkæret 7, Karby, 7960 Karby"
"Næssundvej 435, Karby, 7960 Karby"
"Ørndrupvej 55A, Karby, 7960 Karby"
"Karbymark 6, Karby, 7960 Karby"
"Næssundvej 327, V Hvidbjerg, 7960 Karby"
"Karby Enge 13, Torp, 7960 Karby"
"Grønvænget 2A, Karby, 7960 Karby"
"Næssundvej 514, Nees, 7960 Karby"
"Næssundvej 356, V Hvidbjerg, 7960 Karby"
"Agerøvej 30A, Agerø, 7960 Karby"
"Blåborgvej 4, Rakkeby, 7960 Karby"
"Ørndrupmark 8, Ørndrup, 7960 Karby"
"Næssundvej 439, Karby, 7960 Karby"
"Næssundvej 481, Karby, 7960 Karby"
"Fruensgård 28, Karby, 7960 Karby"
"Nesager 7, V Hvidbjerg, 7960 Karby"
"Næssundvej 439B, 1., Karby, 7960 Karby"
"Næsørevej 17, 1., Nees, 7960 Karby"
"Agervejle 12A, V Hvidbjerg, 7960 Karby"
"Agerøvej 9B, V Hvidbjerg, 7960 Karby"
"Ørndrupvej 53, Karby, 7960 Karby"
"Hedevej 6, Ovtrup, 7960 Karby"
"Sønder Møllevej 10, Rakkeby, 7960 Karby"
"Ørndrupvej 50, Karby, 7960 Karby"
"Karby Enge 3, Torp, 7960 Karby"
"Næsørevej 7A, Nees, 7960 Karby"
"Agerøvej 26, Agerø, 7960 Karby"
"Karby Enge 2, Torp, 7960 Karby"
"La Courvej 3, V Hvidbjerg, 7960 Karby"
"Næssundvej 524, Nees, 7960 Karby"
"Skyttevej 14, Karby, 7960 Karby"
"Næssundvej 439A, a, Karby, 7960 Karby"
"Ørndrupvej 106, Torp, 7960 Karby"
"Næssundvej 472, Karby, 7960 Karby"
"Agerøvej 9A, V Hvidbjerg, 7960 Karby"
"Næssundvej 348, V Hvidbjerg, 7960 Karby"
"Karby Enge 7, Torp, 7960 Karby"
"Nørvej 11, V Hvidbjerg, 7960 Karby"
"Fruensgård 7, Karby, 7960 Karby"
"Næssundvej 497, Karby, 7960 Karby"
"Nørvej 3, V Hvidbjerg, 7960 Karby"
"Hedevej 8, Ovtrup, 7960 Karby"
"Agerøvej 33, Agerø, 7960 Karby"
"Næssundvej 453, Karby, 7960 Karby"
"Næssundvej 331, V Hvidbjerg, 7960 Karby"
"Næssundvej 358, V Hvidbjerg, 7960 Karby"
"Agerøvej 6A, V Hvidbjerg, 7960 Karby"
"Næssundvej 325A, V Hvidbjerg, 7960 Karby"
"Grønvej 17, Karby, 7960 Karby"
"Agervejle 4, V Hvidbjerg, 7960 Karby"
"Råghøj 7A, Rakkeby, 7960 Karby"
"Ørndrupvej 29A, Karby, 7960 Karby"
"Lilletoften 1, V Hvidbjerg, 7960 Karby"
"Nesager 29, V Hvidbjerg, 7960 Karby"
"Ørndrupvej 85, Torp, 7960 Karby"
"Nørvej 37, V Hvidbjerg, 7960 Karby"
"Næssundvej 323, Ø Hvidbjerg, 7960 Karby"
"Næssundvej 470, Karby, 7960 Karby"
"Vestmorsvej 88A, 7960 Karby"
"Krogshaven 2, V Hvidbjerg, 7960 Karby"
"Ørndrupvej 87A, Torp, 7960 Karby"
"Sønder Møllevej 5, Rakkeby, 7960 Karby"
"Blåborgvej 2, Rakkeby, 7960 Karby"
"Ørndrupvej 65, Torp, 7960 Karby"
"Skyttevej 14A, Karby, 7960 Karby"
"Næssundvej 448, Karby, 7960 Karby"
"Næssundvej 438A, Karby, 7960 Karby"
"Agerøvej 58, Agerø, 7960 Karby"
"Karby Enge 15, Torp, 7960 Karby"
"Næssundvej 420, Karby, 7960 Karby"
"Hovmøllevej 3A, Ø Hvidbjerg, 7960 Karby"
"Grønvænget 32, Karby, 7960 Karby"
"Sønder Hedevej 12, Rakkeby, 7960 Karby"
"Blåborgvej 36, Rakkeby, 7960 Karby"
"Næssundvej 449, 1., Karby, 7960 Karby"
"Ørndrupvej 58A, Karby, 7960 Karby"
"Ørndrupvej 58B, Karby, 7960 Karby"
"Næssundvej 384, Karby, 7960 Karby"
"Næssundvej 376, V Hvidbjerg, 7960 Karby"
"Næssundvej 474A, Karby, 7960 Karby"
"Næssundvej 384, Karby, 7960 Karby"
"Næssundvej 524, Nees, 7960 Karby"
"Blåborgvej 51, Rakkeby, 7960 Karby"
"Engdraget 4, Karby, 7960 Karby"
"Næssundvej 325, st., V Hvidbjerg, 7960 Karby"
"Næssundvej 474B, Karby, 7960 Karby"
"Næssundvej 325, V Hvidbjerg, 7960 Karby"
"Ørndrupvej 31, Karby, 7960 Karby"
"Næssundvej 437, Karby, 7960 Karby"
"Næssundvej 437A, Karby, 7960 Karby"
"Næssundvej 437A, Karby, 7960 Karby"
"Grønvænget 30, Karby, 7960 Karby"
"Sensommervej 20, Karby, 7960 Karby"
"Karby Enge 5, Torp, 7960 Karby"
"Hovmøllevej 13, Torp, 7960 Karby"
"Krogshaven 8, V Hvidbjerg, 7960 Karby"
"Krogshaven 9, V Hvidbjerg, 7960 Karby"
"Ørndrupvej 54A, Karby, 7960 Karby"
"Ørndrupvej 52, Karby, 7960 Karby"
"Ørndrupvej 54, Karby, 7960 Karby"
"Agerøvej 38, st., Agerø, 7960 Karby"
"Agerøvej 56, 7960 Karby"
"Næssundvej 526, Nees, 7960 Karby"
"Næsørevej 19, st., Nees, 7960 Karby"
"Kærhaven 3, V Hvidbjerg, 7960 Karby"
"Gårdvejen 3, Torp, 7960 Karby"
"Ørndrupvej 29, st., Karby, 7960 Karby"
"Ørndrupvej 29, Karby, 7960 Karby"
"Næssundvej 423A, Karby, 7960 Karby"
"Ørndrupvej 56, Karby, 7960 Karby"
"Kløvenhøj 13, Rakkeby, 7960 Karby"
"Blåborgvej 48, Rakkeby, 7960 Karby"
"Vestmorsvej 75, Rakkeby, 7960 Karby"
"Næssundvej 455, Karby, 7960 Karby"
"Blåborgvej 14, Rakkeby, 7960 Karby"
"Hedevej 1, Ovtrup, 7960 Karby"
"Hovmøllevej 1, Ø Hvidbjerg, 7960 Karby"
"Lervej 8, Torp, 7960 Karby"
"Næssundvej 346A, V Hvidbjerg, 7960 Karby"
"Næssundvej 346B, V Hvidbjerg, 7960 Karby"
"Vestmorsvej 86, Ejstrup, 7960 Karby"
"Næssundvej 324A, 7960 Karby"
"Agervejle 8, V Hvidbjerg, 7960 Karby"
"Blåborgvej 53, Rakkeby, 7960 Karby"
"Næssundvej 496, Karby, 7960 Karby"
"Skyttevej 2, Karby, 7960 Karby"
"Ørndrupvej 80, Torp, 7960 Karby"
"Næssundvej 346C, V Hvidbjerg, 7960 Karby"
"Næssundvej 346D, V Hvidbjerg, 7960 Karby"
"Næssundvej 346E, V Hvidbjerg, 7960 Karby"
"Næssundvej 346F, V Hvidbjerg, 7960 Karby"
"Næssundvej 408, Karby, 7960 Karby"
"Ørndrupvej 16, Karby, 7960 Karby"
"Hedevej 12, Rakkeby, 7960 Karby"
"Næssundvej 421, Karby, 7960 Karby"
"Hedevej 6, st., Ovtrup, 7960 Karby"
