"Annexgårdsvej 11, Kirke Værløse, 3500 Værløse"
"Vesterbo Vænge 34, 1., 3500 Værløse"
"Birkevang 24B, Hareskov, 3500 Værløse"
"Kjeldgårdsvej 16, Hareskov, 3500 Værløse"
"Skandrups Alle 7, Hareskov, 3500 Værløse"
"Skovmose Side Alle 12, Hareskov, 3500 Værløse"
"Åsletten 14, Hareskov, 3500 Værløse"
"Æblehaven 47, 3500 Værløse"
"Jonstrup Vænge 3, Jonstrup, 3500 Værløse"
"Birkegården 84, Kirke Værløse, 3500 Værløse"
"Enebærhaven 10, 3500 Værløse"
"Skovhaven 45, 3500 Værløse"
"Bavnehøj Park 18, 1. tv, 3500 Værløse"
"Bjørnsholmvej 6, 3500 Værløse"
"Bymidten 49, 2. t, 3500 Værløse"
"Engstedet 3, 1. 51, 3500 Værløse"
"Grantoftevej 11B, 3500 Værløse"
"Højbovænge 58, 3500 Værløse"
"Højlundshusene 8, 3500 Værløse"
"Kirke Værløsevej 9, 3. th, 3500 Værløse"
"Kirke Værløsevej 103, Kirke Værløse, 3500 Værløse"
"Lathyrusvej 11, 3500 Værløse"
"Mosegård Park 105, 3500 Værløse"
"Nørreskovvang 49, 3500 Værløse"
"Ryetvej 35, 2. mf, 3500 Værløse"
"Ryetvej 101, 2. tv, 3500 Værløse"
"Skolekrogen 95, 3500 Værløse"
"Skovgårds Alle 81, 3500 Værløse"
"Sækkedamsvej 11, 3500 Værløse"
"Søndersø Park 74, 3500 Værløse"
"Toftegårdsvej 37, 3500 Værløse"
"Vesterbo Vænge 35, 1., 3500 Værløse"
"Birkevang 24C, Hareskov, 3500 Værløse"
"Poppel Alle 39, Hareskov, 3500 Værløse"
"Skandrups Alle 10, st., Hareskov, 3500 Værløse"
"Stationsvej 1, Hareskov, 3500 Værløse"
"Åsletten 15, Hareskov, 3500 Værløse"
"Bringekrogen 45, Jonstrup, 3500 Værløse"
"Jonstrup Vænge 4, Jonstrup, 3500 Værløse"
"Birkegården 85, Kirke Værløse, 3500 Værløse"
"Enebærhaven 11, 3500 Værløse"
"Skovhaven 46, 3500 Værløse"
"Æblehaven 48, 3500 Værløse"
"Bavnehøj Park 19, kl. 210, 3500 Værløse"
"Bjørnsholmvej 7, 3500 Værløse"
"Bymidten 49, 2. u, 3500 Værløse"
"Engstedet 3, 1. 52, 3500 Værløse"
"Grantoftevej 11C, 3500 Værløse"
"Højbovænge 59, 3500 Værløse"
"Højlundshusene 9, 3500 Værløse"
"Kirke Værløsevej 9, 3. tv, 3500 Værløse"
"Kirke Værløsevej 105, Kirke Værløse, 3500 Værløse"
"Lathyrusvej 12, 3500 Værløse"
"Mosegård Park 107, 3500 Værløse"
"Nørreskovvang 50, 3500 Værløse"
"Ryetvej 35, 2. th, 3500 Værløse"
"Ryetvej 103, kl. th, 3500 Værløse"
"Skolekrogen 97, 3500 Værløse"
"Skovgårds Alle 82, 3500 Værløse"
"Sækkedamsvej 12, 3500 Værløse"
"Søndersø Park 76, 3500 Værløse"
"Toftegårdsvej 39, 3500 Værløse"
"Vesterbo Vænge 36, st., 3500 Værløse"
"Birkevang 26A, Hareskov, 3500 Værløse"
"Klinthøj Alle 1, Hareskov, 3500 Værløse"
"Poppel Alle 40, Hareskov, 3500 Værløse"
"Skandrups Alle 10, 1., Hareskov, 3500 Værløse"
"Stationsvej 3, Hareskov, 3500 Værløse"
"Åsletten 16, Hareskov, 3500 Værløse"
"Jonstrup Vænge 5, Jonstrup, 3500 Værløse"
"Birkegården 86, Kirke Værløse, 3500 Værløse"
"Enebærhaven 12, 3500 Værløse"
"Knud Hjortøsvej 26, Kirke Værløse, 3500 Værløse"
"Skovhaven 47, 3500 Værløse"
"Æblehaven 49, 3500 Værløse"
"Bavnehøj Park 19, kl. 211, 3500 Værløse"
"Bjørnsholmvej 8, 3500 Værløse"
"Bymidten 49, 2. v, 3500 Værløse"
"Engstedet 3, 1. 53, 3500 Værløse"
"Grantoftevej 11D, 3500 Værløse"
"Højbovænge 60, 3500 Værløse"
"Højlundshusene 10, 3500 Værløse"
"Kirke Værløsevej 109A, Kirke Værløse, 3500 Værløse"
"Lathyrusvej 13, 3500 Værløse"
"Mosegård Park 108, 3500 Værløse"
"Nørreskovvang 52, 3500 Værløse"
"Ryetvej 35, 2. tv, 3500 Værløse"
"Ryetvej 103, kl. tv, 3500 Værløse"
"Skolekrogen 99, 3500 Værløse"
"Skovgårds Alle 83, 3500 Værløse"
"Sækkedamsvej 13, 3500 Værløse"
"Søndersøvej 13, 3500 Værløse"
"Toftegårdsvej 41, 3500 Værløse"
"Vesterbo Vænge 37, 1., 3500 Værløse"
"Birkevang 26B, Hareskov, 3500 Værløse"
"Klinthøj Alle 3, Hareskov, 3500 Værløse"
"Poppel Alle 41, Hareskov, 3500 Værløse"
"Skandrups Alle 10, 2., Hareskov, 3500 Værløse"
"Stormly 3, Hareskov, 3500 Værløse"
"Åvej 3, Hareskov, 3500 Værløse"
"Bringekrogen 47, Jonstrup, 3500 Værløse"
"Jonstrup Vænge 6, Jonstrup, 3500 Værløse"
"Birkegården 87, Kirke Værløse, 3500 Værløse"
"Enebærhaven 13, 3500 Værløse"
"Kroparken 1, st. th, Kirke Værløse, 3500 Værløse"
"Skovhaven 48, 3500 Værløse"
"Æblehaven 50, 3500 Værløse"
"Bavnehøj Park 19, st. th, 3500 Værløse"
"Bjørnsholmvej 9, 3500 Værløse"
"Bymidten 49, 2. x, 3500 Værløse"
"Engstedet 3, 1. 54, 3500 Værløse"
"Grantoftevej 11E, 3500 Værløse"
"Højbovænge 61, 3500 Værløse"
"Højlundshusene 11, 3500 Værløse"
"Lathyrusvej 14, 3500 Værløse"
"Mosegård Park 109, 3500 Værløse"
"Nørreskovvang 54, 3500 Værløse"
"Ryetvej 37, st. mf, 3500 Værløse"
"Ryetvej 103, st. th, 3500 Værløse"
"Skolekrogen 101, 3500 Værløse"
"Sækkedamsvej 14, 3500 Værløse"
"Toftegårdsvej 43, 3500 Værløse"
"Vesterbo Vænge 38, st., 3500 Værløse"
"Birkevang 26C, Hareskov, 3500 Værløse"
"Klinthøj Alle 4, Hareskov, 3500 Værløse"
"Poppel Alle 42, Hareskov, 3500 Værløse"
"Skandrups Alle 12, Hareskov, 3500 Værløse"
"Stormly 4, Hareskov, 3500 Værløse"
"Åvej 4, Hareskov, 3500 Værløse"
"Bringekrogen 48, Jonstrup, 3500 Værløse"
"Jonstrup Vænge 7, Jonstrup, 3500 Værløse"
"Birkegården 88, Kirke Værløse, 3500 Værløse"
"Enebærhaven 14, 3500 Værløse"
"Kroparken 1, st. tv, Kirke Værløse, 3500 Værløse"
"Skovhaven 49, 3500 Værløse"
"Æblehaven 51, 3500 Værløse"
"Bavnehøj Park 19, st. tv, 3500 Værløse"
"Bjørnsholmvej 10, 3500 Værløse"
"Bymidten 50A, 3500 Værløse"
"Engstedet 3, 1. 55, 3500 Værløse"
"Grantoftevej 11E, kl., 3500 Værløse"
"Højdevej 1, 3500 Værløse"
"Højlundshusene 12, 3500 Værløse"
"Kirke Værløsevej 11, st. mf, 3500 Værløse"
"Klosterbakken 1, 3500 Værløse"
"Lathyrusvej 15, 3500 Værløse"
"Mosegård Park 110, 3500 Værløse"
"Nørreskovvang 55, 3500 Værløse"
"Ryetvej 37, st. th, 3500 Værløse"
"Ryetvej 103, st. tv, 3500 Værløse"
"Skolekrogen 103, 3500 Værløse"
"Skovgårds Alle 87, 3500 Værløse"
"Sækkedamsvej 15, 3500 Værløse"
"Toftegårdsvej 45, 3500 Værløse"
"Vesterbo Vænge 39, 1., 3500 Værløse"
"Birkevang 27, Hareskov, 3500 Værløse"
"Klinthøj Alle 5, Hareskov, 3500 Værløse"
"Poppel Alle 43, Hareskov, 3500 Værløse"
"Skandrups Alle 14, Hareskov, 3500 Værløse"
"Stormly 7, Hareskov, 3500 Værløse"
"Åvej 5, Hareskov, 3500 Værløse"
"Bringekrogen 49, Jonstrup, 3500 Værløse"
"Jonstrup Vænge 8, Jonstrup, 3500 Værløse"
"Birkegården 89, Kirke Værløse, 3500 Værløse"
"Enebærhaven 15, 3500 Værløse"
"Kroparken 1, 1. th, Kirke Værløse, 3500 Værløse"
"Skovhaven 50, 3500 Værløse"
"Æblehaven 52, 3500 Værløse"
"Bavnehøj Park 19, 1. th, 3500 Værløse"
"Bjørnsholmvej 11, 3500 Værløse"
"Bymidten 50B, 3500 Værløse"
"Engstedet 3, 1. 56, 3500 Værløse"
"Grantoftevej 12, 3500 Værløse"
"Højdevej 2, 3500 Værløse"
"Højlundshusene 13, 3500 Værløse"
"Kirke Værløsevej 11, st. th, 3500 Værløse"
"Lathyrusvej 16, 3500 Værløse"
"Mosegård Park 111, 3500 Værløse"
"Nørreskovvang 56, 3500 Værløse"
"Ryetvej 37, st. tv, 3500 Værløse"
"Ryetvej 103, 1. th, 3500 Værløse"
"Skolekrogen 105, 3500 Værløse"
"Skovgårds Alle 88, 3500 Værløse"
"Sækkedamsvej 16, 3500 Værløse"
"Søndersøvej 16, 3500 Værløse"
"Tornekrogen 3, 3500 Værløse"
"Vesterbo Vænge 40, st., 3500 Værløse"
"Birkevang 29, Hareskov, 3500 Værløse"
"Klinthøj Alle 7, Hareskov, 3500 Værløse"
"Poppel Alle 45, Hareskov, 3500 Værløse"
"Skandrups Alle 15, Hareskov, 3500 Værløse"
"Stormly 9, Hareskov, 3500 Værløse"
"Åvej 7, Hareskov, 3500 Værløse"
"Poppel Alle 46, Hareskov, 3500 Værløse"
"Mølledalen 2, Jonstrup, 3500 Værløse"
"Birkegården 90, Kirke Værløse, 3500 Værløse"
"Enebærhaven 16, 3500 Værløse"
"Kroparken 1, 1. tv, Kirke Værløse, 3500 Værløse"
"Skovhaven 51, 3500 Værløse"
"Æblehaven 53, 3500 Værløse"
"Bavnehøj Park 19, 1. tv, 3500 Værløse"
"Bjørnsholmvej 12, 3500 Værløse"
"Bymidten 50E, 3500 Værløse"
"Christianshøjvej 102, Ganløse Ore, 3500 Værløse"
"Engstedet 3, 2. 57, 3500 Værløse"
"Højdevej 3, 3500 Værløse"
"Højlundshusene 14A, 3500 Værløse"
"Kirke Værløsevej 11, st. tv, 3500 Værløse"
"Klosterbakken 4, 3500 Værløse"
"Lathyrusvej 17, 3500 Værløse"
"Mosegård Park 112, 3500 Værløse"
"Nørreskovvang 57, 3500 Værløse"
"Ryetvej 37, 1. mf, 3500 Værløse"
"Ryetvej 103, 1. tv, 3500 Værløse"
"Skolekrogen 107, 3500 Værløse"
"Skovgårds Alle 89, 3500 Værløse"
"Sækkedamsvej 17, 3500 Værløse"
"Søndersøvej 17, 3500 Værløse"
"Tornekrogen 5, 3500 Værløse"
"Vesterbo Vænge 41, 1., 3500 Værløse"
"Birkevang 30, Hareskov, 3500 Værløse"
"Klinthøj Alle 8, Hareskov, 3500 Værløse"
"Skandrups Alle 16, Hareskov, 3500 Værløse"
"Stormly 10, Hareskov, 3500 Værløse"
"Åvej 9, Hareskov, 3500 Værløse"
"Bringekrogen 51, Jonstrup, 3500 Værløse"
"Mølledalen 3, Jonstrup, 3500 Værløse"
"Birkegården 91, Kirke Værløse, 3500 Værløse"
"Enebærhaven 17, 3500 Værløse"
"Kroparken 2, Kirke Værløse, 3500 Værløse"
"Skovhaven 52, 3500 Værløse"
"Æblehaven 54, 3500 Værløse"
"Bavnehøj Park 20, st. th, 3500 Værløse"
"Bymidten 50F, 3500 Værløse"
"Christianshøjvej 103, Ganløse Ore, 3500 Værløse"
"Engstedet 3, 2. 58, 3500 Værløse"
"Grantoftevej 13B, 3500 Værløse"
"Højdevej 4, 3500 Værløse"
"Højlundshusene 14B, 3500 Værløse"
"Kirke Værløsevej 11, 1. th, 3500 Værløse"
"Klosterbakken 5, 3500 Værløse"
"Lathyrusvej 19, 3500 Værløse"
"Mosegård Park 113, 3500 Værløse"
"Ryetvej 37, 1. th, 3500 Værløse"
"Ryetvej 103, 2. th, 3500 Værløse"
"Skolekrogen 109, 3500 Værløse"
"Skovgårds Alle 91, 3500 Værløse"
"Sækkedamsvej 18, 3500 Værløse"
"Søndersøvej 18, 3500 Værløse"
"Tornekrogen 7, 3500 Værløse"
"Vesterbo Vænge 42, st., 3500 Værløse"
"Birkevang 31, Hareskov, 3500 Værløse"
"Klinthøj Alle 9, Hareskov, 3500 Værløse"
"Poppel Alle 47, Hareskov, 3500 Værløse"
"Stormly 12, Hareskov, 3500 Værløse"
"Åvej 14, Hareskov, 3500 Værløse"
"Bringekrogen 52, Jonstrup, 3500 Værløse"
"Mølledalen 4, Jonstrup, 3500 Værløse"
"Birkegården 92, Kirke Værløse, 3500 Værløse"
"Enebærhaven 18, 3500 Værløse"
"Kroparken 3, Kirke Værløse, 3500 Værløse"
"Skovhaven 53, 3500 Værløse"
"Æblehaven 55, 3500 Værløse"
"Bavnehøj Park 20, st. tv, 3500 Værløse"
"Bjørnsholmvej 14, 3500 Værløse"
"Engstedet 3, 2. 60, 3500 Værløse"
"Grantoftevej 13C, 3500 Værløse"
"Højdevej 5, 3500 Værløse"
"Højlundshusene 15, 3500 Værløse"
"Kirke Værløsevej 11, 1. tv, 3500 Værløse"
"Klosterbakken 6, 3500 Værløse"
"Mosegård Park 114, 3500 Værløse"
"Nørreskovvang 59, 3500 Værløse"
"Ryetvej 37, 1. tv, 3500 Værløse"
"Ryetvej 103, 2. tv, 3500 Værløse"
"Skolekrogen 111, 3500 Værløse"
"Skovgårds Alle 93, 3500 Værløse"
"Sækkedamsvej 19, 3500 Værløse"
"Tornekrogen 8, 3500 Værløse"
"Vesterbo Vænge 43, 1., 3500 Værløse"
"Birkevang 32, Hareskov, 3500 Værløse"
"Klinthøj Alle 10, Hareskov, 3500 Værløse"
"Poppel Alle 50, Hareskov, 3500 Værløse"
"Stormly 14, Hareskov, 3500 Værløse"
"Åvej 15, Hareskov, 3500 Værløse"
"Bringekrogen 54, Jonstrup, 3500 Værløse"
"Mølledalen 5, Jonstrup, 3500 Værløse"
"Birkegården 93, Kirke Værløse, 3500 Værløse"
"Enebærhaven 19, 3500 Værløse"
"Kroparken 4, Kirke Værløse, 3500 Værløse"
"Æblehaven 56, 3500 Værløse"
"Bavnehøj Park 20, 1. th, 3500 Værløse"
"Bymidten 50, kl. 1, 3500 Værløse"
"Christianshøjvej 108, Ganløse Ore, 3500 Værløse"
"Engstedet 3, 2. 61, 3500 Værløse"
"Grantoftevej 13D, 3500 Værløse"
"Højdevej 6, 3500 Værløse"
"Højlundshusene 16, 3500 Værløse"
"Kirke Værløsevej 11, 2. th, 3500 Værløse"
"Klosterbakken 7, 3500 Værløse"
"Lathyrusvej 23, 3500 Værløse"
"Mosegård Park 115, 3500 Værløse"
"Nørreskovvang 60B, 3500 Værløse"
"Ryetvej 37, 2. mf, 3500 Værløse"
"Ryetvej 105, st. mf, 3500 Værløse"
"Skolekrogen 113, 3500 Værløse"
"Skovgårds Alle 95, 3500 Værløse"
"Sækkedamsvej 20, 3500 Værløse"
"Søndersøvej 20, 3500 Værløse"
"Tornekrogen 9, 3500 Værløse"
"Vesterbo Vænge 44, st., 3500 Værløse"
"Birkevang 33, Hareskov, 3500 Værløse"
"Klinthøj Alle 12, Hareskov, 3500 Værløse"
"Poppel Alle 51, Hareskov, 3500 Værløse"
"Skandrups Alle 17, Hareskov, 3500 Værløse"
"Stormly 15, Hareskov, 3500 Værløse"
"Åvej 16, Hareskov, 3500 Værløse"
"Bringekrogen 56, Jonstrup, 3500 Værløse"
"Mølledalen 6, Jonstrup, 3500 Værløse"
"Birkegården 94, Kirke Værløse, 3500 Værløse"
"Enebærhaven 20, 3500 Værløse"
"Kroparken 5, Kirke Værløse, 3500 Værløse"
"Skovhaven 56, 3500 Værløse"
"Æblehaven 57, 3500 Værløse"
"Bavnehøj Park 20, 1. tv, 3500 Værløse"
"Bjørnsholmvej 16, 3500 Værløse"
"Bymidten 50, kl. 2, 3500 Værløse"
"Engstedet 3, 2. 62, 3500 Værløse"
"Grantoftevej 14, 3500 Værløse"
"Højdevej 7, 3500 Værløse"
"Højlundshusene 17, 3500 Værløse"
"Kirke Værløsevej 11, 2. tv, 3500 Værløse"
"Klosterbakken 8, 3500 Værløse"
"Lathyrusvej 25, 3500 Værløse"
"Mosegård Park 116, 3500 Værløse"
"Nørreskovvang 61, 3500 Værløse"
"Ryetvej 37, 2. th, 3500 Værløse"
"Ryetvej 105, st. th, 3500 Værløse"
"Skolekrogen 115, 3500 Værløse"
"Skovgårds Alle 97, 3500 Værløse"
"Sækkedamsvej 21, 3500 Værløse"
"Søndersøvej 21, 3500 Værløse"
"Tornekrogen 10, 3500 Værløse"
"Vesterbo Vænge 45, 1., 3500 Værløse"
"Kløvervej 1, Hareskov, 3500 Værløse"
"Poppel Alle 52A, Hareskov, 3500 Værløse"
"Skandrups Alle 18, Hareskov, 3500 Værløse"
"Stormly 16, Hareskov, 3500 Værløse"
"Åvej 17, Hareskov, 3500 Værløse"
"Æblehaven 58, 3500 Værløse"
"Mølledalen 7, Jonstrup, 3500 Værløse"
"Birkegården 95, Kirke Værløse, 3500 Værløse"
"Enebærhaven 21, 3500 Værløse"
"Kroparken 6, Kirke Værløse, 3500 Værløse"
"Skovhaven 57, 3500 Værløse"
"Bavnehøj Park 21, st. th, 3500 Værløse"
"Bjørnsholmvej 17, 3500 Værløse"
"Bymidten 50, 1. h, 3500 Værløse"
"Engstedet 3, 2. 63, 3500 Værløse"
"Grantoftevej 15A, 3500 Værløse"
"Højdevej 8, 3500 Værløse"
"Højlundshusene 18, 3500 Værløse"
"Kirke Værløsevej 11, 3. th, 3500 Værløse"
"Klosterbakken 9, 3500 Værløse"
"Lathyrusvej 27, 3500 Værløse"
"Mosegård Park 117, 3500 Værløse"
"Nørreskovvang 62, 3500 Værløse"
"Ryetvej 37, 2. tv, 3500 Værløse"
"Ryetvej 105, st. tv, 3500 Værløse"
"Skolekrogen 117, 3500 Værløse"
"Skovgårds Alle 99, 3500 Værløse"
"Sækkedamsvej 22, 3500 Værløse"
"Søndersøvej 23, 3500 Værløse"
"Tornekrogen 11, 3500 Værløse"
"Vesterbo Vænge 46, st., 3500 Værløse"
"Birkevang 35, Hareskov, 3500 Værløse"
"Kløvervej 2, Hareskov, 3500 Værløse"
"Poppel Alle 52B, Hareskov, 3500 Værløse"
"Skandrups Alle 19, Hareskov, 3500 Værløse"
"Stormly 17, Hareskov, 3500 Værløse"
"Åvej 18, Hareskov, 3500 Værløse"
"Bringekrogen 60, Jonstrup, 3500 Værløse"
"Mølledalen 8, Jonstrup, 3500 Værløse"
"Birkegården 96, Kirke Værløse, 3500 Værløse"
"Enebærhaven 22, 3500 Værløse"
"Kroparken 7, Kirke Værløse, 3500 Værløse"
"Skovhaven 58, 3500 Værløse"
"Anyvej 2, 3500 Værløse"
"Bavnehøj Park 21, st. tv, 3500 Værløse"
"Bjørnsholmvej 18, 3500 Værløse"
"Bymidten 50, 1. k, 3500 Værløse"
"Engstedet 3, 2. 64, 3500 Værløse"
"Grantoftevej 15B, 3500 Værløse"
"Højdevej 9, 3500 Værløse"
"Højlundshusene 19, 3500 Værløse"
"Kirke Værløsevej 11, 3. tv, 3500 Værløse"
"Klosterbakken 10, 3500 Værløse"
"Lathyrusvej 29, 3500 Værløse"
"Mosegård Park 118, 3500 Værløse"
"Nørreskovvang 63, 3500 Værløse"
"Ryetvej 38A, 3500 Værløse"
"Ryetvej 105, 1. th, 3500 Værløse"
"Skovbakken 1, 3500 Værløse"
"Skovgårds Alle 101, 3500 Værløse"
"Sækkedamsvej 23, 3500 Værløse"
"Søndersøvej 25, 3500 Værløse"
"Tornekrogen 12, 3500 Værløse"
"Vesterbo Vænge 47, 1., 3500 Værløse"
"Birkevang 36A, Hareskov, 3500 Værløse"
"Kløvervej 3, Hareskov, 3500 Værløse"
"Poppel Alle 53, Hareskov, 3500 Værløse"
"Skandrups Alle 20B, Hareskov, 3500 Værløse"
"Stormly 18, Hareskov, 3500 Værløse"
"Åvej 19, Hareskov, 3500 Værløse"
"Mølledalen 9, Jonstrup, 3500 Værløse"
"Birkegården 97, Kirke Værløse, 3500 Værløse"
"Enebærhaven 23, 3500 Værløse"
"Kroparken 8, Kirke Værløse, 3500 Værløse"
"Skovhaven 59, 3500 Værløse"
"Bavnehøj Park 21, 1. th, 3500 Værløse"
"Bjørnsholmvej 19, 3500 Værløse"
"Bymidten 50, 1. l, 3500 Værløse"
"Engstedet 3, 2. 65, 3500 Værløse"
"Grantoftevej 15C, 3500 Værløse"
"Højdevej 10, 3500 Værløse"
"Højlundshusene 20A, 3500 Værløse"
"Kirke Værløsevej 13, st. mf, 3500 Værløse"
"Lerstedet 1A, 3500 Værløse"
"Mosegård Park 119, 3500 Værløse"
"Nørreskovvang 64, 3500 Værløse"
"Ryetvej 38B, 3500 Værløse"
"Ryetvej 105, 1. tv, 3500 Værløse"
"Skovbakken 2, 3500 Værløse"
"Skovgårds Alle 103, 3500 Værløse"
"Sækkedamsvej 25, 3500 Værløse"
"Søndersøvej 26, 3500 Værløse"
"Tornekrogen 13, 3500 Værløse"
"Vesterbo Vænge 48, st., 3500 Værløse"
"Birkevang 36B, Hareskov, 3500 Værløse"
"Kløvervej 4, Hareskov, 3500 Værløse"
"Skandrups Alle 21, Hareskov, 3500 Værløse"
"Stormly 19, Hareskov, 3500 Værløse"
"Åvej 20A, Hareskov, 3500 Værløse"
"Mølledalen 10, Jonstrup, 3500 Værløse"
"Birkegården 98, Kirke Værløse, 3500 Værløse"
"Enebærhaven 24, 3500 Værløse"
"Kroparken 9, Kirke Værløse, 3500 Værløse"
"Skovhaven 60, 3500 Værløse"
"Anyvej 6, 3500 Værløse"
"Bavnehøj Park 21, 1. tv, 3500 Værløse"
"Bjørnsholmvej 20, 3500 Værløse"
"Bymidten 50, 1. m, 3500 Værløse"
"Engstedet 3, 2. 66, 3500 Værløse"
"Grantoftevej 15D, 3500 Værløse"
"Højdevej 11, 3500 Værløse"
"Højlundshusene 20B, 3500 Værløse"
"Kirke Værløsevej 13, st. th, 3500 Værløse"
"Klosterbakken 12, 3500 Værløse"
"Lerstedet 1B, 3500 Værløse"
"Mosegård Park 120, 3500 Værløse"
"Nørreskovvang 65, 3500 Værløse"
"Ryetvej 39, st. mf, 3500 Værløse"
"Ryetvej 105, 2. th, 3500 Værløse"
"Skovbakken 3, 3500 Værløse"
"Skovgårds Alle 105, 3500 Værløse"
"Sækkedamsvej 26, 3500 Værløse"
"Søndersøvej 27, 3500 Værløse"
"Tornekrogen 14, 3500 Værløse"
"Vesterbo Vænge 49, st., 3500 Værløse"
"Birkevang 37, Hareskov, 3500 Værløse"
"Kløvervej 5, Hareskov, 3500 Værløse"
"Poppel Alle 55, Hareskov, 3500 Værløse"
"Skandrups Alle 22, Hareskov, 3500 Værløse"
"Stormly 20, Hareskov, 3500 Værløse"
"Åvej 20B, Hareskov, 3500 Værløse"
"Mølledalen 11, Jonstrup, 3500 Værløse"
"Birkegården 99, Kirke Værløse, 3500 Værløse"
"Enebærhaven 25, 3500 Værløse"
"Kroparken 10, Kirke Værløse, 3500 Værløse"
"Skovhaven 61, 3500 Værløse"
"Anyvej 8, 3500 Værløse"
"Bavnehøj Park 22, kl. 212, 3500 Værløse"
"Bjørnsholmvej 21, 3500 Værløse"
"Bymidten 51, st., 3500 Værløse"
"Engstedet 3, 2. 67, 3500 Værløse"
"Grantoftevej 15E, 3500 Værløse"
"Højdevej 12, 3500 Værløse"
"Højlundshusene 21, 3500 Værløse"
"Kirke Værløsevej 13, st. tv, 3500 Værløse"
"Klosterbakken 13, 3500 Værløse"
"Lerstedet 1C, 3500 Værløse"
"Mosegård Park 121, 3500 Værløse"
"Nørreskovvang 66, 3500 Værløse"
"Ryetvej 39, st. th, 3500 Værløse"
"Ryetvej 105, 2. tv, 3500 Værløse"
"Skovbakken 4, 3500 Værløse"
"Skovgårds Alle 107, 3500 Værløse"
"Sækkedamsvej 27, 3500 Værløse"
"Søndersøvej 28, 3500 Værløse"
"Tornekrogen 15, 3500 Værløse"
"Vesterbo Vænge 50, 1., 3500 Værløse"
"Birkevang 38, Hareskov, 3500 Værløse"
"Kløvervej 6, Hareskov, 3500 Værløse"
"Skandrups Alle 23, Hareskov, 3500 Værløse"
"Stormly 28, Hareskov, 3500 Værløse"
"Mølledalen 12, Jonstrup, 3500 Værløse"
"Birkegården 100, Kirke Værløse, 3500 Værløse"
"Enebærhaven 26, 3500 Værløse"
"Kroparken 11, Kirke Værløse, 3500 Værløse"
"Skovhaven 63, 3500 Værløse"
"Anyvej 9, 3500 Værløse"
"Bavnehøj Park 22, kl. 213, 3500 Værløse"
"Bjørnsholmvej 22, 3500 Værløse"
"Bymidten 54, st., 3500 Værløse"
"Engstedet 3, 2. 68, 3500 Værløse"
"Grantoftevej 16, 3500 Værløse"
"Højdevej 14, 3500 Værløse"
"Højlundshusene 22, 3500 Værløse"
"Kirke Værløsevej 13, 1. th, 3500 Værløse"
"Klosterbakken 14, 3500 Værløse"
"Lerstedet 1D, 3500 Værløse"
"Mosegård Park 122, 3500 Værløse"
"Nørreskovvang 67A, 3500 Værløse"
"Ryetvej 39, st. tv, 3500 Værløse"
"Ryetvej 107, st. mf, 3500 Værløse"
"Skovbakken 5, 3500 Værløse"
"Skovgårds Alle 109, 3500 Værløse"
"Sækkedamsvej 28, 3500 Værløse"
"Søndersøvej 29, 3500 Værløse"
"Violvej 3, 3500 Værløse"
"Birkevang 40, Hareskov, 3500 Værløse"
"Kløvervej 7, Hareskov, 3500 Værløse"
"Poppel Alle 58, Hareskov, 3500 Værløse"
"Stormly 30, Hareskov, 3500 Værløse"
"Åvej 22, Hareskov, 3500 Værløse"
"Åvej 24, Hareskov, 3500 Værløse"
"Mølledalen 13, Jonstrup, 3500 Værløse"
"Birkegården 101, Kirke Værløse, 3500 Værløse"
"Enebærhaven 27, 3500 Værløse"
"Kroparken 12, Kirke Værløse, 3500 Værløse"
"Skovhaven 71, 3500 Værløse"
"Anyvej 10, 3500 Værløse"
"Bavnehøj Park 22, st. th, 3500 Værløse"
"Bjørnsholmvej 23, 3500 Værløse"
"Bymidten 55, st., 3500 Værløse"
"Engstedet 5, 3500 Værløse"
"Grantoftevej 17A, 3500 Værløse"
"Højdevej 15, 3500 Værløse"
"Højlundshusene 23, 3500 Værløse"
"Kirke Værløsevej 13, 1. tv, 3500 Værløse"
"Klosterbakken 15, 3500 Værløse"
"Lerstedet 1E, 3500 Værløse"
"Mosegård Park 123, 3500 Værløse"
"Nørreskovvang 67B, 3500 Værløse"
"Ryetvej 39, 1. mf, 3500 Værløse"
"Ryetvej 107, st. th, 3500 Værløse"
"Skovbakken 6, 3500 Værløse"
"Skovgårds Alle 111, 3500 Værløse"
"Sækkedamsvej 29, 3500 Værløse"
"Søndersøvej 30, 3500 Værløse"
"Tornekrogen 17, 3500 Værløse"
"Violvej 5, 3500 Værløse"
"Bogmosen 5, Hareskov, 3500 Værløse"
"Kløvervej 8, Hareskov, 3500 Værløse"
"Poppel Alle 59, Hareskov, 3500 Værløse"
"Skandrups Alle 25, Hareskov, 3500 Værløse"
"Mølledalen 14, Jonstrup, 3500 Værløse"
"Birkegården 102, Kirke Værløse, 3500 Værløse"
"Enebærhaven 28, 3500 Værløse"
"Kroparken 13, Kirke Værløse, 3500 Værløse"
"Skovhaven 72, 3500 Værløse"
"Anyvej 11, 3500 Værløse"
"Bavnehøj Park 22, st. tv, 3500 Værløse"
"Bjørnsholmvej 24, 3500 Værløse"
"Bymidten 56, 1. a, 3500 Værløse"
"Engstedet 7, st. 1, 3500 Værløse"
"Grantoftevej 17B, 3500 Værløse"
"Højdevej 16, 3500 Værløse"
"Højlundshusene 24, 3500 Værløse"
"Kirke Værløsevej 13, 2. th, 3500 Værløse"
