"Dannebrogsgade 33, st., 1660 København V"
"Dannebrogsgade 46A, 3. tv, 1660 København V"
"Dannebrogsgade 46B, 1. tv, 1660 København V"
"Dannebrogsgade 31, kl. 5, 1660 København V"
"Dannebrogsgade 36, 2. 216, 1660 København V"
"Dannebrogsgade 46B, 4. th, 1660 København V"
"Dannebrogsgade 46B, 4., 1660 København V"
"Dannebrogsgade 46C, 1. th, 1660 København V"
"Dannebrogsgade 36, 2. 218, 1660 København V"
"Dannebrogsgade 36, 2. 219, 1660 København V"
"Dannebrogsgade 36, 1660 København V"
"Dannebrogsgade 36, 1660 København V"
"Dannebrogsgade 46C, st. tv, 1660 København V"
