"Trelleborggade 95, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 99, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 101, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 97, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 107, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 103, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 105, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 109, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 111, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 113, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 115, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 117, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 119, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 121, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 123, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 125, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 127, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 129, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 131, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 133, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 93, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 135, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 137, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 139, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 141, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 143, Høje Taastrup, 2630 Taastrup"
"Trelleborggade 145, Høje Taastrup, 2630 Taastrup"
"Engbrinken 21, Sengeløse, 2630 Taastrup"
"Femkanten E 1, 1. 3, 2630 Taastrup"
"Grønhøjgårdsvej 141, 2630 Taastrup"
"Havetoften 6A, 2630 Taastrup"
"Hovmarksstien 4, Sengeløse, 2630 Taastrup"
"Højgårdstoften 98, 2630 Taastrup"
"Højgårdstoften 412, 2630 Taastrup"
"Jernbane Alle 52B, 2630 Taastrup"
"Kingosvej 11, st. th, 2630 Taastrup"
"Kingosvej 39, 1. tv, 2630 Taastrup"
"Kingosvej 77, st. mf, 2630 Taastrup"
"Klovtofteparken 52, Klovtofte, 2630 Taastrup"
"Taastrup Hovedgade 26D, 2630 Taastrup"
"Leen D 1, st. 4, Høje Taastrup, 2630 Taastrup"
"Lindebo 23, st. 136, 2630 Taastrup"
"Lindevangshusene 44, 2. th, 2630 Taastrup"
"Lindevangshusene 104, 1. mf, 2630 Taastrup"
"Murskeen 3, 1. 35, Høje Taastrup, 2630 Taastrup"
"Murskeen 26, 2. 392, Høje Taastrup, 2630 Taastrup"
"Olivenlunden 69, Høje Taastrup, 2630 Taastrup"
"Parkvej 33, 1. tv, 2630 Taastrup"
"Parkvej 81, st. th, 2630 Taastrup"
"Parkvej 151, st. tv, 2630 Taastrup"
"Pælestykkerne 8, 1. tv, 2630 Taastrup"
"Pælestykkerne 58, st. tv, 2630 Taastrup"
"Rødhøjgårdsvej 23, 2630 Taastrup"
"Røjlevangen 31, 2630 Taastrup"
"Rønnevangshusene 35, 2. tv, 2630 Taastrup"
"Sankt Ibs Alle 85, 2630 Taastrup"
"Saven D 4, 2. 1, Høje Taastrup, 2630 Taastrup"
"Skolevej 8E, 2630 Taastrup"
"Smedeløkken 6A, Sengeløse, 2630 Taastrup"
"Spotorno Alle 1, 1. 17, Høje Taastrup, 2630 Taastrup"
"Stendiget 66, Sengeløse, 2630 Taastrup"
"Sthensvej 42, 2630 Taastrup"
"Sylen 22, 1. 124, Høje Taastrup, 2630 Taastrup"
"Sønderby Torv 19, 2. th, Høje Taastrup, 2630 Taastrup"
"Søndertoften 217, 2630 Taastrup"
"Trekanten F 8, 2630 Taastrup"
"Taastrup Have 16, 1. tv, 2630 Taastrup"
"Taastrupgårdsvej 11, 1. tv, 2630 Taastrup"
"Taastrupgårdsvej 133, 1. tv, 2630 Taastrup"
"Taastrupgårdsvej 191, 2. th, 2630 Taastrup"
"Taastrup Vænge 37, st. 2, 2630 Taastrup"
"Valbyvej 20B, st. th, 2630 Taastrup"
"Vesterby Torv 5, 2. 4, Høje Taastrup, 2630 Taastrup"
"Vibevej 11, 2630 Taastrup"
"Øksen 12, 1. 116, Høje Taastrup, 2630 Taastrup"
"Østerby Alle 8, st. tv, Høje Taastrup, 2630 Taastrup"
"Baunevej 136, 2630 Taastrup"
"Budstikken 118, 2630 Taastrup"
"Cirklen B 12, 2630 Taastrup"
"Engelholm Alle 2, Høje Taastrup, 2630 Taastrup"
"Femkanten E 1, 1. 4, 2630 Taastrup"
"Gartnerparken 52, 2630 Taastrup"
"Grønhøjgårdsvej 143, 2630 Taastrup"
"Hallandsparken 18, Høje Taastrup, 2630 Taastrup"
"Havetoften 6B, 2630 Taastrup"
"Højgårdstoften 99, 2630 Taastrup"
"Højgårdstoften 414, 2630 Taastrup"
"Jernbane Alle 53A, 2630 Taastrup"
"Kingosvej 11, st. tv, 2630 Taastrup"
"Kingosvej 39, 2. mf, 2630 Taastrup"
"Kingosvej 77, st. th, 2630 Taastrup"
"Klovtofteparken 54, Klovtofte, 2630 Taastrup"
"Leen D 1, 1. 1, Høje Taastrup, 2630 Taastrup"
"Lindebo 23, 1. 137, 2630 Taastrup"
"Lindevangshusene 44, 2. tv, 2630 Taastrup"
"Lindevangshusene 104, 1. th, 2630 Taastrup"
"Murskeen 3, 1. 36, Høje Taastrup, 2630 Taastrup"
"Murskeen 26, 3. 393, Høje Taastrup, 2630 Taastrup"
"Olivenlunden 70, Høje Taastrup, 2630 Taastrup"
"Parkvej 33, 2. th, 2630 Taastrup"
"Parkvej 81, st. tv, 2630 Taastrup"
"Parkvej 151, 1. mf, 2630 Taastrup"
"Pælestykkerne 8, 2. th, 2630 Taastrup"
"Pælestykkerne 58, 1. th, 2630 Taastrup"
"Roskildevej 330, 2630 Taastrup"
"Rødhøjgårdsvej 24, 2630 Taastrup"
"Røjlevangen 32, 2630 Taastrup"
"Rønnevangshusene 36, 2630 Taastrup"
"Sankt Ibs Alle 86, 2630 Taastrup"
"Saven D 4, 2. 2, Høje Taastrup, 2630 Taastrup"
"Skolevej 8F, 2630 Taastrup"
"Smedeløkken 6B, Sengeløse, 2630 Taastrup"
"Spotorno Alle 1, 1. 18, Høje Taastrup, 2630 Taastrup"
"Stendiget 67, Sengeløse, 2630 Taastrup"
"Sthensvej 44, 2630 Taastrup"
"Sylen 22, 1. 125, Høje Taastrup, 2630 Taastrup"
"Sønderby Torv 19, 2. tv, Høje Taastrup, 2630 Taastrup"
"Søndertoften 218, 2630 Taastrup"
"Trekanten G 1, 2630 Taastrup"
"Taastrup Have 16, 2. mf, 2630 Taastrup"
"Taastrupgårdsvej 11, 2. th, 2630 Taastrup"
"Taastrupgårdsvej 133, 2. th, 2630 Taastrup"
"Taastrupgårdsvej 191, 2. tv, 2630 Taastrup"
"Taastrup Vænge 37, st. 3, 2630 Taastrup"
"Valbyvej 20B, st. tv, 2630 Taastrup"
"Vesterengen 1, 2630 Taastrup"
"Vibevej 12, 2630 Taastrup"
"Øksen 12, 2. 117, Høje Taastrup, 2630 Taastrup"
"Østerby Alle 8, 1. mf, Høje Taastrup, 2630 Taastrup"
"Åvænget 2, 2630 Taastrup"
"Baunevej 137, 2630 Taastrup"
"Budstikken 120, 2630 Taastrup"
"Cirklen C 1, 2630 Taastrup"
"Egevangshusene 29, 2630 Taastrup"
"Engelholm Alle 4, Høje Taastrup, 2630 Taastrup"
"Femkanten E 2, 2630 Taastrup"
"Gartnerparken 54, 2630 Taastrup"
"Grønhøjgårdsvej 145, 2630 Taastrup"
"Havetoften 6C, 2630 Taastrup"
"Højgårdstoften 100, 2630 Taastrup"
"Højgårdstoften 416, 2630 Taastrup"
"Jernbane Alle 53B, 2630 Taastrup"
"Kingosvej 11, 1. mf, 2630 Taastrup"
"Kingosvej 39, 2. th, 2630 Taastrup"
"Kingosvej 77, st. tv, 2630 Taastrup"
"Kløverhaven 1, Høje Taastrup, 2630 Taastrup"
"Taastrup Hovedgade 26E, 1. th, 2630 Taastrup"
"Leen D 1, 1. 2, Høje Taastrup, 2630 Taastrup"
"Lindebo 23, 1. 138, 2630 Taastrup"
"Lindevangshusene 46, st. mf, 2630 Taastrup"
"Lindevangshusene 104, 1. tv, 2630 Taastrup"
"Murskeen 3, 2. 37, Høje Taastrup, 2630 Taastrup"
"Murskeen 26, 3. 394, Høje Taastrup, 2630 Taastrup"
"Olivenlunden 71, Høje Taastrup, 2630 Taastrup"
"Parkvej 33, 2. tv, 2630 Taastrup"
"Parkvej 81, 1. th, 2630 Taastrup"
"Parkvej 151, 1. th, 2630 Taastrup"
"Pælestykkerne 8, 2. tv, 2630 Taastrup"
"Pælestykkerne 58, 1. tv, 2630 Taastrup"
"Roskildevej 334, 2630 Taastrup"
"Rødhøjgårdsvej 25, 2630 Taastrup"
"Røjlevangen 33, 2630 Taastrup"
"Rønnevangshusene 37, st. mf, 2630 Taastrup"
"Sankt Ibs Alle 87, 2630 Taastrup"
"Saven D 4, 2. 3, Høje Taastrup, 2630 Taastrup"
"Skolevej 8G, 2630 Taastrup"
"Spotorno Alle 1, 1. 19, Høje Taastrup, 2630 Taastrup"
"Stendiget 68, Sengeløse, 2630 Taastrup"
"Sthensvej 46, 2630 Taastrup"
"Sylen 22, 1. 126, Høje Taastrup, 2630 Taastrup"
"Sønderby Torv 21, st. th, Høje Taastrup, 2630 Taastrup"
"Søndertoften 219, 2630 Taastrup"
"Trekanten G 2, 2630 Taastrup"
"Taastrup Have 16, 2. th, 2630 Taastrup"
"Taastrupgårdsvej 11, 2. tv, 2630 Taastrup"
"Taastrupgårdsvej 133, 2. tv, 2630 Taastrup"
"Taastrupgårdsvej 191, 3. th, 2630 Taastrup"
"Taastrup Vænge 37, st. 4, 2630 Taastrup"
"Valbyvej 20B, 1. mf, 2630 Taastrup"
"Vesterengen 2, 2630 Taastrup"
"Vibevej 13, 2630 Taastrup"
"Øksen 12, 2. 118, Høje Taastrup, 2630 Taastrup"
"Østerby Alle 8, 1. th, Høje Taastrup, 2630 Taastrup"
"Åvænget 4, 2630 Taastrup"
"Baunevej 138, 2630 Taastrup"
"Budstikken 122, 2630 Taastrup"
"Cirklen C 2, 2630 Taastrup"
"Egevangshusene 31, 2630 Taastrup"
"Engelholm Alle 6, Høje Taastrup, 2630 Taastrup"
"Femkanten E 3, 2630 Taastrup"
"Gartnervej 1, 2630 Taastrup"
"Grønhøjgårdsvej 147, 2630 Taastrup"
"Hallandsparken 20, Høje Taastrup, 2630 Taastrup"
"Havetoften 6D, 2630 Taastrup"
"Højgårdstoften 101, 2630 Taastrup"
"Højgårdstoften 418, 2630 Taastrup"
"Sylen 22, 2. 127, Høje Taastrup, 2630 Taastrup"
"Jernbane Alle 54A, 2630 Taastrup"
"Kingosvej 11, 1. th, 2630 Taastrup"
"Kingosvej 39, 2. tv, 2630 Taastrup"
"Kingosvej 77, 1. mf, 2630 Taastrup"
"Kløverhaven 2, Høje Taastrup, 2630 Taastrup"
"Taastrup Hovedgade 26E, 1. tv, 2630 Taastrup"
"Leen D 1, 1. 3, Høje Taastrup, 2630 Taastrup"
"Lindebo 23, 1. 139, 2630 Taastrup"
"Lindevangshusene 46, st. th, 2630 Taastrup"
"Lindevangshusene 104, 2. mf, 2630 Taastrup"
"Murskeen 3, 2. 38, Høje Taastrup, 2630 Taastrup"
"Murskeen 26, 3. 395, Høje Taastrup, 2630 Taastrup"
"Olivenlunden 72, Høje Taastrup, 2630 Taastrup"
"Parkvej 34, st. th, 2630 Taastrup"
"Parkvej 81, 1. tv, 2630 Taastrup"
"Parkvej 151, 1. tv, 2630 Taastrup"
"Pælestykkerne 9, st. th, 2630 Taastrup"
"Pælestykkerne 58, 2. th, 2630 Taastrup"
"Rødhøjgårdsvej 26, 2630 Taastrup"
"Røjlevangen 34, 2630 Taastrup"
"Rønnevangshusene 37, st. th, 2630 Taastrup"
"Sankt Ibs Alle 88, 2630 Taastrup"
"Saven D 4, 2. 4, Høje Taastrup, 2630 Taastrup"
"Skolevej 9, 2630 Taastrup"
"Spotorno Alle 1, 1. 20, Høje Taastrup, 2630 Taastrup"
"Stendiget 69, Sengeløse, 2630 Taastrup"
"Sthensvej 48, 2630 Taastrup"
"Sønderby Torv 21, st. tv, Høje Taastrup, 2630 Taastrup"
"Søndertoften 220, 2630 Taastrup"
"Trekanten G 3, 2630 Taastrup"
"Taastrup Have 16, 2. tv, 2630 Taastrup"
"Taastrupgårdsvej 11, 3. th, 2630 Taastrup"
"Taastrupgårdsvej 133, 3. th, 2630 Taastrup"
"Taastrupgårdsvej 191, 3. tv, 2630 Taastrup"
"Taastrup Vænge 37, 1. 1, 2630 Taastrup"
"Valbyvej 20B, 1. th, 2630 Taastrup"
"Vesterengen 3, 2630 Taastrup"
"Vibevej 14, 2630 Taastrup"
"Øksen 12, 3. 119, Høje Taastrup, 2630 Taastrup"
"Østerby Alle 8, 1. tv, Høje Taastrup, 2630 Taastrup"
"Åvænget 5, 2630 Taastrup"
"Baunevej 139, 2630 Taastrup"
"Budstikken 124, 2630 Taastrup"
"Cirklen C 3, 2630 Taastrup"
"Egevangshusene 33, 2630 Taastrup"
"Engelholm Alle 8, 1. 1, Høje Taastrup, 2630 Taastrup"
"Femkanten E 4, 2630 Taastrup"
"Gartnervej 2, 2630 Taastrup"
"Grønhøjgårdsvej 149, 2630 Taastrup"
"Hallandsparken 21, Høje Taastrup, 2630 Taastrup"
"Højgårdstoften 102, 2630 Taastrup"
"Højgårdstoften 420, 2630 Taastrup"
"Jernbane Alle 54B, 2630 Taastrup"
"Kingosvej 11, 1. tv, 2630 Taastrup"
"Kingosvej 40, st. mf, 2630 Taastrup"
"Kingosvej 77, 1. th, 2630 Taastrup"
"Kløverhaven 3, Høje Taastrup, 2630 Taastrup"
"Taastrup Hovedgade 26F, 2630 Taastrup"
"Leen D 1, 1. 4, Høje Taastrup, 2630 Taastrup"
"Lindebo 23, 1. 140, 2630 Taastrup"
"Lindevangshusene 46, st. tv, 2630 Taastrup"
"Lindevangshusene 104, 2. th, 2630 Taastrup"
"Murskeen 3, 2. 39, Høje Taastrup, 2630 Taastrup"
"Murskeen 27, st. 396, Høje Taastrup, 2630 Taastrup"
"Olivenlunden 73, Høje Taastrup, 2630 Taastrup"
"Parkvej 34, st. tv, 2630 Taastrup"
"Parkvej 81, 2. th, 2630 Taastrup"
"Parkvej 151, 2. mf, 2630 Taastrup"
"Pælestykkerne 9, st. tv, 2630 Taastrup"
"Pælestykkerne 58, 2. tv, 2630 Taastrup"
"Rødhøjgårdsvej 27, 2630 Taastrup"
"Røjlevangen 35, 2630 Taastrup"
"Rønnevangshusene 37, st. tv, 2630 Taastrup"
"Sankt Ibs Alle 89, 2630 Taastrup"
"Saven D 4, 3. 1, Høje Taastrup, 2630 Taastrup"
"Skolevej 10A, st., 2630 Taastrup"
"Spotorno Alle 1, 1. 21, Høje Taastrup, 2630 Taastrup"
"Stendiget 70, Sengeløse, 2630 Taastrup"
"Sthensvej 50, 2630 Taastrup"
"Svalevej 2, 2630 Taastrup"
"Sylen 22, 2. 128, Høje Taastrup, 2630 Taastrup"
"Sønderby Torv 21, 1. th, Høje Taastrup, 2630 Taastrup"
"Søndertoften 221, 2630 Taastrup"
"Trekanten G 4, 2630 Taastrup"
"Taastrup Have 17, st. th, 2630 Taastrup"
"Taastrupgårdsvej 11, 3. tv, 2630 Taastrup"
"Taastrupgårdsvej 133, 3. tv, 2630 Taastrup"
"Taastrupgårdsvej 193, 1. th, 2630 Taastrup"
"Taastrup Vænge 37, 1. 2, 2630 Taastrup"
"Valbyvej 20B, 1. tv, 2630 Taastrup"
"Vibevej 15, 2630 Taastrup"
"Øksen 12, 3. 120, Høje Taastrup, 2630 Taastrup"
"Østerby Alle 9, st. th, Høje Taastrup, 2630 Taastrup"
"Åvænget 6, 2630 Taastrup"
"Baunevej 140, 2630 Taastrup"
"Budstikken 126, 2630 Taastrup"
"Cirklen C 4, 2630 Taastrup"
"Egevangshusene 35, 2630 Taastrup"
"Engelholm Alle 8, 1. 2, Høje Taastrup, 2630 Taastrup"
"Femkanten E 5, 2630 Taastrup"
"Gartnervej 3, 2630 Taastrup"
"Grønhøjgårdsvej 151, 2630 Taastrup"
"Hallandsparken 22, Høje Taastrup, 2630 Taastrup"
"Havetoften 7, 2630 Taastrup"
"Højgårdstoften 103, 2630 Taastrup"
"Højgårdstoften 422, 2630 Taastrup"
"Jernbane Alle 54C, 2630 Taastrup"
"Kingosvej 11, 2. mf, 2630 Taastrup"
"Kingosvej 40, st. th, 2630 Taastrup"
"Kingosvej 77, 1. tv, 2630 Taastrup"
"Kløverhaven 4, Høje Taastrup, 2630 Taastrup"
"Taastrup Hovedgade 26G, 2630 Taastrup"
"Taastrup Hovedgade 131, st., 2630 Taastrup"
"Leen D 1, 2. 1, Høje Taastrup, 2630 Taastrup"
"Lindebo 23, 2. 141, 2630 Taastrup"
"Lindevangshusene 46, 1. mf, 2630 Taastrup"
"Lindevangshusene 104, 2. tv, 2630 Taastrup"
"Murskeen 3, 2. 40, Høje Taastrup, 2630 Taastrup"
"Murskeen 27, st. 397, Høje Taastrup, 2630 Taastrup"
"Nybølle Vad 2, Sengeløse, 2630 Taastrup"
"Olivenlunden 74, Høje Taastrup, 2630 Taastrup"
"Parkvej 34, 1. th, 2630 Taastrup"
"Parkvej 81, 2. tv, 2630 Taastrup"
"Parkvej 151, 2. th, 2630 Taastrup"
"Pælestykkerne 9, 1. th, 2630 Taastrup"
"Pælestykkerne 60, st. th, 2630 Taastrup"
"Roskildevej 344, 2630 Taastrup"
"Rødhøjgårdsvej 28, 2630 Taastrup"
"Rønnevangshusene 37, 1. mf, 2630 Taastrup"
"Sankt Ibs Alle 90, 2630 Taastrup"
"Saven D 4, 3. 2, Høje Taastrup, 2630 Taastrup"
"Skolevej 10A, 1., 2630 Taastrup"
"Spotorno Alle 1, 1. 22, Høje Taastrup, 2630 Taastrup"
"Stendiget 71, Sengeløse, 2630 Taastrup"
"Stillidsvej 1, 2630 Taastrup"
"Vestervej 18, 2630 Taastrup"
"Svalevej 3, 2630 Taastrup"
"Sylen 22, 2. 129, Høje Taastrup, 2630 Taastrup"
"Sønderby Torv 21, 1. tv, Høje Taastrup, 2630 Taastrup"
"Søndertoften 222, 2630 Taastrup"
"Trekanten G 5, 2630 Taastrup"
"Taastrup Have 17, st. tv, 2630 Taastrup"
"Taastrupgårdsvej 13, st. a, 2630 Taastrup"
"Taastrupgårdsvej 135, st., 2630 Taastrup"
"Taastrupgårdsvej 193, 1. tv, 2630 Taastrup"
"Taastrup Vænge 37, 1. 3, 2630 Taastrup"
"Valbyvej 20B, 2., 2630 Taastrup"
"Vibevej 16, 2630 Taastrup"
"Øksen 13, st. 121, Høje Taastrup, 2630 Taastrup"
"Østerby Alle 9, st. tv, Høje Taastrup, 2630 Taastrup"
"Åvænget 7, 2630 Taastrup"
"Baunevej 141, 2630 Taastrup"
"Budstikken 128, 2630 Taastrup"
"Cirklen C 5, st., 2630 Taastrup"
"Egevangshusene 37, 2630 Taastrup"
"Engelholm Alle 8, 1. 3, Høje Taastrup, 2630 Taastrup"
"Femkanten E 6, 2630 Taastrup"
"Gartnervej 4A, 2630 Taastrup"
"Grønhøjgårdsvej 153, 2630 Taastrup"
"Hallandsparken 23, Høje Taastrup, 2630 Taastrup"
"Havetoften 8, 2630 Taastrup"
"Højgårdstoften 104, 2630 Taastrup"
"Højgårdstoften 424, 2630 Taastrup"
"Jernbane Alle 55, 2630 Taastrup"
"Kingosvej 11, 2. th, 2630 Taastrup"
"Kingosvej 40, st. tv, 2630 Taastrup"
"Kingosvej 77, 2. mf, 2630 Taastrup"
"Kløverhaven 5, Høje Taastrup, 2630 Taastrup"
"Taastrup Hovedgade 30A, st. th, 2630 Taastrup"
"Taastrup Hovedgade 132A, st. th, 2630 Taastrup"
"Leen D 1, 2. 2, Høje Taastrup, 2630 Taastrup"
"Lindebo 23, 2. 142, 2630 Taastrup"
"Lindevangshusene 46, 1. th, 2630 Taastrup"
"Lindevangshusene 106, st. mf, 2630 Taastrup"
"Murskeen 3, 3. 41, Høje Taastrup, 2630 Taastrup"
"Murskeen 27, 1. 398, Høje Taastrup, 2630 Taastrup"
"Nybølle Vad 4, Sengeløse, 2630 Taastrup"
"Olivenlunden 75, Høje Taastrup, 2630 Taastrup"
"Parkvej 34, 1. tv, 2630 Taastrup"
"Parkvej 81, 3. th, 2630 Taastrup"
"Parkvej 151, 2. tv, 2630 Taastrup"
"Pælestykkerne 9, 1. tv, 2630 Taastrup"
"Pælestykkerne 60, st. tv, 2630 Taastrup"
"Roskildevej 346, 2630 Taastrup"
"Rødhøjgårdsvej 29, 2630 Taastrup"
"Røjlevangen 37, 2630 Taastrup"
"Rønnevangshusene 37, 1. th, 2630 Taastrup"
"Saksen C 1, st. 1, Høje Taastrup, 2630 Taastrup"
"Sankt Ibs Alle 91, 2630 Taastrup"
"Saven D 4, 3. 3, Høje Taastrup, 2630 Taastrup"
"Skolevej 10B, st., 2630 Taastrup"
"Spotorno Alle 1, 1. 23, Høje Taastrup, 2630 Taastrup"
"Stendiget 72, Sengeløse, 2630 Taastrup"
"Stillidsvej 2, 2630 Taastrup"
"Svalevej 4, 2630 Taastrup"
"Sylen 22, 3. 130, Høje Taastrup, 2630 Taastrup"
"Sønderby Torv 21, 2. th, Høje Taastrup, 2630 Taastrup"
"Søndertoften 223, 2630 Taastrup"
"Trekanten G 6, 2630 Taastrup"
"Taastrup Have 17, 1. th, 2630 Taastrup"
"Taastrupgårdsvej 13, st. th, 2630 Taastrup"
"Taastrupgårdsvej 135, 1. th, 2630 Taastrup"
"Taastrupgårdsvej 193, 2. th, 2630 Taastrup"
"Taastrup Vænge 37, 1. 4, 2630 Taastrup"
"Valbyvej 21, 2630 Taastrup"
"Vibevej 17, 2630 Taastrup"
"Øksen 13, st. 122, Høje Taastrup, 2630 Taastrup"
"Østerby Alle 9, 1. mf, Høje Taastrup, 2630 Taastrup"
"Åvænget 7B, 2630 Taastrup"
"Baunevej 142, 2630 Taastrup"
"Budstikken 130, 2630 Taastrup"
"Cirklen C 5, 1., 2630 Taastrup"
"Egevangshusene 39, 2630 Taastrup"
"Engelholm Alle 8, 1. 4, Høje Taastrup, 2630 Taastrup"
"Femkanten E 7, 2630 Taastrup"
"Gartnervej 4B, 2630 Taastrup"
"Grønhøjgårdsvej 155, 2630 Taastrup"
"Hallandsparken 24, Høje Taastrup, 2630 Taastrup"
"Havetoften 9, 2630 Taastrup"
"H P Olsens Vænge 2, 2630 Taastrup"
"Højgårdstoften 105, 2630 Taastrup"
"Højgårdstoften 426, 2630 Taastrup"
"Jernbane Alle 56, 2630 Taastrup"
"Kingosvej 11, 2. tv, 2630 Taastrup"
"Kingosvej 40, 1. mf, 2630 Taastrup"
"Kingosvej 77, 2. th, 2630 Taastrup"
"Kløverhaven 6, Høje Taastrup, 2630 Taastrup"
"Taastrup Hovedgade 30A, st. tv, 2630 Taastrup"
"Taastrup Hovedgade 132A, st. tv, 2630 Taastrup"
"Leen D 1, 2. 3, Høje Taastrup, 2630 Taastrup"
"Lindebo 23, 2. 143, 2630 Taastrup"
"Lindevangshusene 46, 1. tv, 2630 Taastrup"
"Lindevangshusene 106, st. th, 2630 Taastrup"
"Murskeen 3, 3. 42, Høje Taastrup, 2630 Taastrup"
"Murskeen 27, 1. 399, Høje Taastrup, 2630 Taastrup"
"Nybølle Vad 5, Sengeløse, 2630 Taastrup"
"Olivenlunden 76, Høje Taastrup, 2630 Taastrup"
"Parkvej 35, st. th, 2630 Taastrup"
"Parkvej 81, 3. tv, 2630 Taastrup"
"Parkvej 153, st. mf, 2630 Taastrup"
"Pælestykkerne 9, 2. th, 2630 Taastrup"
"Pælestykkerne 60, 1. th, 2630 Taastrup"
"Roskildevej 348, 2630 Taastrup"
"Rødhøjgårdsvej 30, 2630 Taastrup"
"Rønnevangshusene 37, 1. tv, 2630 Taastrup"
"Saksen C 1, st. 2, Høje Taastrup, 2630 Taastrup"
"Sankt Ibs Alle 92, 2630 Taastrup"
"Saven D 4, 3. 4, Høje Taastrup, 2630 Taastrup"
"Skolevej 10B, 1., 2630 Taastrup"
"Spotorno Alle 1, 1. 24, Høje Taastrup, 2630 Taastrup"
"Stendiget 73, Sengeløse, 2630 Taastrup"
"Stillidsvej 3, 2630 Taastrup"
"Svalevej 5, 2630 Taastrup"
"Sylen 22, 3. 131, Høje Taastrup, 2630 Taastrup"
"Søndertoften 224, 2630 Taastrup"
"Trekanten G 7, 2630 Taastrup"
"Taastrup Have 17, 1. tv, 2630 Taastrup"
"Taastrupgårdsvej 13, st. tv, 2630 Taastrup"
"Taastrupgårdsvej 135, 1. tv, 2630 Taastrup"
"Taastrupgårdsvej 193, 2. tv, 2630 Taastrup"
"Taastrup Vænge 37, 2. 1, 2630 Taastrup"
"Valbyvej 22, st., 2630 Taastrup"
"Øksen 13, 1. 124, Høje Taastrup, 2630 Taastrup"
"Østerby Alle 9, 1. th, Høje Taastrup, 2630 Taastrup"
"Åvænget 7C, 2630 Taastrup"
"Budstikken 132, 2630 Taastrup"
"Cirklen C 6, 2630 Taastrup"
"Egevangshusene 41, 2630 Taastrup"
"Engelholm Alle 8, 1. 5, Høje Taastrup, 2630 Taastrup"
"Femkanten E 8, 2630 Taastrup"
"Gartnervej 5, 2630 Taastrup"
"Grønhøjgårdsvej 157, 2630 Taastrup"
"Hallandsparken 25, Høje Taastrup, 2630 Taastrup"
"Havetoften 10, 2630 Taastrup"
"H P Olsens Vænge 2A, 2630 Taastrup"
"Højgårdstoften 106, 2630 Taastrup"
"Højgårdstoften 428, 2630 Taastrup"
"Jernbane Alle 57, 2630 Taastrup"
"Kingosvej 40, 1. th, 2630 Taastrup"
"Kingosvej 77, 2. tv, 2630 Taastrup"
"Kløverhaven 7, Høje Taastrup, 2630 Taastrup"
"Taastrup Hovedgade 30A, 1. th, 2630 Taastrup"
"Taastrup Hovedgade 132A, 1. th, 2630 Taastrup"
"Leen D 1, 2. 4, Høje Taastrup, 2630 Taastrup"
"Lindebo 23, 2. 144, 2630 Taastrup"
"Lindevangshusene 46, 2. mf, 2630 Taastrup"
"Lindevangshusene 106, st. tv, 2630 Taastrup"
"Murskeen 3, 3. 43, Høje Taastrup, 2630 Taastrup"
"Murskeen 27, 2. 400, Høje Taastrup, 2630 Taastrup"
"Nybølle Vad 8, Sengeløse, 2630 Taastrup"
"Olivenlunden 77, Høje Taastrup, 2630 Taastrup"
"Parkvej 35, st. tv, 2630 Taastrup"
"Parkvej 83, st. th, 2630 Taastrup"
"Parkvej 153, st. th, 2630 Taastrup"
"Pælestykkerne 9, 2. tv, 2630 Taastrup"
"Pælestykkerne 60, 1. tv, 2630 Taastrup"
"Roskildevej 350, 2630 Taastrup"
"Rødhøjgårdsvej 31, 2630 Taastrup"
"Rønnevangshusene 37, 2. mf, 2630 Taastrup"
"Saksen C 1, st. 3, Høje Taastrup, 2630 Taastrup"
"Sankt Ibs Alle 93, 2630 Taastrup"
"Sekskanten A 1, 2630 Taastrup"
"Skolevej 10C, st., 2630 Taastrup"
"Spotorno Alle 1, 1. 25, Høje Taastrup, 2630 Taastrup"
"Stendiget 74, Sengeløse, 2630 Taastrup"
"Stillidsvej 4, 2630 Taastrup"
"Svalevej 6, 2630 Taastrup"
"Sylen 22, 3. 132, Høje Taastrup, 2630 Taastrup"
"Sønderby Torv 23, st. th, Høje Taastrup, 2630 Taastrup"
"Søndertoften 225, 2630 Taastrup"
"Trekanten G 8, 2630 Taastrup"
"Taastrup Have 17, 2. th, 2630 Taastrup"
